所管,組織,項コード,主要経費別分類コード,目的別分類コード,財政法公債金対象非対象別分類コード,経済性質別分類コード,使途別分類コード,目別分類コード,項名,目名,令和3年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,001,95,011,2,12,9,99,内廷費,(内廷費),324000,324000,0
皇室費,皇室費,002,95,011,2,12,9,06,宮廷費,諸謝金,31376,31584,-208
皇室費,皇室費,002,95,011,2,95,9,07,宮廷費,報償費,311476,303554,7922
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,庁費,2461893,2681472,-219579
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,各所修繕,1462993,1449082,13911
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,招宴費,88140,133222,-45082
皇室費,皇室費,002,95,199,2,13,3,09,宮廷費,自動車重量税,1400,1342,58
皇室費,皇室費,002,95,011,2,20,4,15,宮廷費,施設整備費,7426797,6335722,1091075
皇室費,皇室費,002,95,011,2,12,9,17,宮廷費,交際費,44088,44088,0
皇室費,皇室費,003,95,011,2,12,9,99,皇族費,(皇族費),269315,269315,0
国会,衆議院,001,95,012,2,11,1,01,衆議院,議員歳費,10042407,8880364,1162043
国会,衆議院,001,95,012,2,11,1,02,衆議院,職員基本給,8749473,8797336,-47863
国会,衆議院,001,95,012,2,11,1,03,衆議院,職員諸手当,4507807,4541898,-34091
国会,衆議院,001,95,012,2,11,1,04,衆議院,超過勤務手当,1480431,1479358,1073
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書手当,12598678,12360759,237919
国会,衆議院,001,95,012,2,11,1,05,衆議院,非常勤職員手当,248736,249047,-311
国会,衆議院,001,95,012,2,11,1,05,衆議院,休職者給与,31370,29687,1683
国会,衆議院,001,95,012,2,11,1,05,衆議院,短時間勤務職員給与,157585,159366,-1781
国会,衆議院,001,95,012,2,15,1,05,衆議院,公務災害補償費,11082,19979,-8897
国会,衆議院,001,95,012,2,11,1,05,衆議院,退職手当,1906610,1455755,450855
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書退職手当,1353725,315613,1038112
国会,衆議院,001,95,012,2,15,1,05,衆議院,弔慰金,41408,41408,0
国会,衆議院,001,95,089,2,11,1,05,衆議院,児童手当,71440,72990,-1550
国会,衆議院,001,95,012,2,12,9,06,衆議院,諸謝金,6327,6327,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員旅費,316429,316429,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員文書通信交通滞在費,5718000,5580000,138000
国会,衆議院,001,95,012,2,12,2,08,衆議院,議会雑費,29700,29700,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,職員旅費,147070,147070,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,赴任旅費,2437,2573,-136
国会,衆議院,001,95,012,2,12,2,08,衆議院,委員等旅費,2517,2517,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,証人等旅費,9494,9494,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,庁費,1002290,1001790,500
国会,衆議院,001,95,012,2,12,3,09,衆議院,情報処理業務庁費,2151755,1910894,240861
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員会館管理等運営庁費,3689817,3618256,71561
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員特殊乗車券等購入費,911955,911955,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,国会活動啓発費,23026,23026,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,議案類印刷費,558952,562013,-3061
国会,衆議院,001,95,012,2,12,3,09,衆議院,招へい外国人滞在費,73594,73594,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,各所修繕,76401,76401,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,国政調査活動費,359347,358509,838
国会,衆議院,001,95,012,2,12,3,09,衆議院,公共施設等維持管理運営費,3372516,3383935,-11419
国会,衆議院,001,95,199,2,13,3,09,衆議院,自動車重量税,1086,1699,-613
国会,衆議院,001,95,012,2,12,3,11,衆議院,立法事務費,3627000,3627000,0
国会,衆議院,001,95,012,2,11,5,16,衆議院,国家公務員共済組合負担金,2292438,2343384,-50946
国会,衆議院,001,95,012,2,11,5,16,衆議院,基礎年金等国家公務員共済組合負担金,575305,562990,12315
国会,衆議院,001,95,012,2,11,5,16,衆議院,育児休業手当金国家公務員共済組合負担金,716,435,281
国会,衆議院,001,95,029,2,13,5,16,衆議院,国有資産所在市町村交付金,509871,547789,-37918
国会,衆議院,001,95,012,2,72,5,16,衆議院,列国議会同盟分担金,105994,103191,2803
国会,衆議院,001,95,012,2,12,9,17,衆議院,交際費,59138,59138,0
国会,衆議院,001,95,012,2,95,9,18,衆議院,賠償償還及払戻金,2467,2467,0
国会,衆議院,002,95,012,1,20,2,08,衆議院施設費,施設施工旅費,694,694,0
国会,衆議院,002,95,012,1,20,3,09,衆議院施設費,施設施工庁費,75211,110447,-35236
国会,衆議院,002,95,012,1,20,4,15,衆議院施設費,施設整備費,1614296,976808,637488
国会,衆議院,002,95,012,1,20,4,15,衆議院施設費,不動産購入費,596205,585130,11075
国会,衆議院,009,95,012,2,95,9,99,衆議院予備経費,(国会予備経費),7000,7000,0
国会,参議院,011,95,012,2,11,1,01,参議院,議員歳費,5300350,4687030,613320
国会,参議院,011,95,012,2,11,1,02,参議院,職員基本給,6510292,6560077,-49785
国会,参議院,011,95,012,2,11,1,03,参議院,職員諸手当,3342103,3420234,-78131
国会,参議院,011,95,012,2,11,1,04,参議院,超過勤務手当,1116246,1121991,-5745
国会,参議院,011,95,012,2,11,1,05,参議院,議員秘書手当,6566256,6533928,32328
国会,参議院,011,95,012,2,11,1,05,参議院,非常勤職員手当,177465,177726,-261
国会,参議院,011,95,012,2,11,1,05,参議院,休職者給与,36385,36608,-223
国会,参議院,011,95,012,2,11,1,05,参議院,短時間勤務職員給与,104694,105903,-1209
国会,参議院,011,95,012,2,15,1,05,参議院,公務災害補償費,2848,2848,0
国会,参議院,011,95,012,2,11,1,05,参議院,退職手当,1521279,1049610,471669
