主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,令和3年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
国会,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,1183741,1239254,-55513
国会,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,764801,803726,-38925
国会,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,40006,38964,1042
国会,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,425,1173,-748
国会,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,100,5,95
国会,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,21463,21845,-382
国会,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,8734,9248,-514
国会,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,2189,1879,310
国会,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,1,0
国会,5,3,99,99,雑収入,諸収入,雑入,雑収,228519,227953,566
裁判所,4,2,03,36,政府資産整理収入,回収金等収入,貸付金等回収金収入,修習資金貸与金償還金,1857702,1484118,373584
裁判所,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,97136,91959,5177
裁判所,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,200969,191507,9462
裁判所,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,480285,514495,-34210
裁判所,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,4320,4083,237
裁判所,5,2,09,01,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,49100,49090,10
裁判所,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1621615,1599781,21834
裁判所,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,127,140,-13
裁判所,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,284960,185265,99695
裁判所,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,63924,60726,3198
裁判所,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,52545,55221,-2676
裁判所,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,41735,44544,-2809
裁判所,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,16570,11893,4677
裁判所,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,7,14,-7
裁判所,5,3,99,04,雑収入,諸収入,雑入,延滞金,5337,5087,250
裁判所,5,3,99,05,雑収入,諸収入,雑入,期満後収入,1853,1807,46
裁判所,5,3,99,99,雑収入,諸収入,雑入,雑収,58644957,56887818,1757139
会計検査院,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,17,17,0
会計検査院,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,56,32,24
会計検査院,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,1047,1248,-201
会計検査院,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,5,20,-15
会計検査院,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,1047,802,245
会計検査院,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,1715,2203,-488
会計検査院,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,1407,1128,279
会計検査院,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,1,0
会計検査院,5,3,99,99,雑収入,諸収入,雑入,雑収,494,564,-70
内閣,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,26655,26605,50
内閣,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,1374,1256,118
内閣,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,3535,3511,24
内閣,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,626,782,-156
内閣,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,189,190,-1
内閣,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,747475,694899,52576
内閣,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,1588,1162,426
内閣,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,2041,1485,556
内閣,5,3,99,04,雑収入,諸収入,雑入,延滞金,3,1,2
内閣府,3,2,01,01,官業益金及官業収入,官業収入,病院収入,宮内庁病院収入,15650,24391,-8741
内閣府,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,236711,205553,31158
内閣府,4,1,01,03,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,309,309,0
内閣府,4,1,01,05,政府資産整理収入,国有財産処分収入,国有財産売払収入,船舶売払代,1940,7114,-5174
