主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,令和3年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
内閣府,4,1,01,50,政府資産整理収入,国有財産処分収入,国有財産売払収入,航空機売払代,156998,36575,120423
内閣府,4,2,03,13,政府資産整理収入,回収金等収入,貸付金等回収金収入,災害援護資金貸付金償還金,2298856,2411324,-112468
内閣府,4,2,54,01,政府資産整理収入,回収金等収入,東日本大震災復興放射性物質汚染対策緊急除染等事業費回収金収入,放射性物質汚染対策緊急除染等事業費回収金,3930776,11895272,-7964496
内閣府,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,228941,235824,-6883
内閣府,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,329337,348302,-18965
内閣府,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,583067,588320,-5253
内閣府,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,3190,3179,11
内閣府,5,1,02,03,雑収入,国有財産利用収入,国有財産使用収入,入場料等収入,158196,936554,-778358
内閣府,5,1,02,05,雑収入,国有財産利用収入,国有財産使用収入,公益認定等総合情報システム利用料収入,28194,28194,0
内閣府,5,2,03,04,雑収入,納付金,雑納付金,公認会計士法違反者納付金,14590,14330,260
内閣府,5,2,03,05,雑収入,納付金,雑納付金,価格協定等違反者納付金,1935737,3765407,-1829670
内閣府,5,2,03,06,雑収入,納付金,雑納付金,金融商品取引法違反者納付金,935160,686760,248400
内閣府,5,2,03,25,雑収入,納付金,雑納付金,不当表示違反者納付金,311101,368760,-57659
内閣府,5,2,03,17,雑収入,納付金,雑納付金,独立行政法人国立公文書館納付金,8718,6603,2115
内閣府,5,2,03,31,雑収入,納付金,雑納付金,国立研究開発法人日本医療研究開発機構納付金,1698,0,1698
内閣府,5,3,03,27,雑収入,諸収入,特別会計受入金,自動車安全特別会計受入金,142570,138033,4537
内閣府,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,516553,474511,42042
内閣府,5,3,08,05,雑収入,諸収入,懲罰及没収金,交通反則者納金,53002937,54361639,-1358702
内閣府,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,84402,85426,-1024
内閣府,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,7494139,8423278,-929139
内閣府,5,3,11,01,雑収入,諸収入,物品売払収入,試験場製品等売払代,5964,7390,-1426
内閣府,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,207006,205717,1289
内閣府,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,12607,9303,3304
内閣府,5,3,99,04,雑収入,諸収入,雑入,延滞金,3562,4184,-622
内閣府,5,3,99,99,雑収入,諸収入,雑入,雑収,53605,50974,2631
デジタル庁,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,1,0,1
デジタル庁,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,36,0,36
デジタル庁,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,388,0,388
デジタル庁,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,0,1
総務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,56982,57180,-198
総務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,70068,71708,-1640
総務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,29246,34325,-5079
総務省,5,2,03,11,雑収入,納付金,雑納付金,国立研究開発法人情報通信研究機構納付金,1040888,0,1040888
総務省,5,2,03,74,雑収入,納付金,雑納付金,独立行政法人統計センター納付金,337435,324780,12655
総務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,955455,1033498,-78043
総務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,4700,5754,-1054
総務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,3017237,3850000,-832763
総務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,21739,12560,9179
総務省,5,3,15,01,雑収入,諸収入,電波利用料収入,電波利用料収入,74989656,74989656,0
総務省,5,3,33,01,雑収入,諸収入,特定基地局開設料収入,特定基地局開設料収入,3100000,0,3100000
総務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,6638,5253,1385
総務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,1387,1096,291
総務省,5,3,99,99,雑収入,諸収入,雑入,雑収,997796,813746,184050
法務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,226826,195151,31675
法務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,304450,336965,-32515
法務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,251475,267254,-15779
法務省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,1110,1213,-103
法務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,47759504,48789555,-1030051
法務省,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,1638983,1574256,64727
法務省,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,757626,1058530,-300904
法務省,5,3,08,01,雑収入,諸収入,懲罰及没収金,罰金及科料,37592798,39601116,-2008318
法務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,466413,502035,-35622
法務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,491024,269878,221146
法務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,174726,169319,5407
法務省,5,3,10,01,雑収入,諸収入,矯正官署作業収入,刑務所作業収入,3525368,3712227,-186859
法務省,5,3,10,02,雑収入,諸収入,矯正官署作業収入,少年院職業指導収入,3772,5175,-1403
法務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,52311,41590,10721
法務省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,5879,8454,-2575
法務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,2247,2667,-420
法務省,5,3,99,05,雑収入,諸収入,雑入,期満後収入,177428,136232,41196
法務省,5,3,99,99,雑収入,諸収入,雑入,雑収,229281,243239,-13958
外務省,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,79388,73119,6269
外務省,4,1,01,03,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,47599,41243,6356
外務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,9096,8771,325
外務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,46358,46309,49
外務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,455745,488176,-32431
外務省,5,1,04,01,雑収入,国有財産利用収入,利子収入,預託金利子収入,20193,17073,3120
外務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,23567921,14444769,9123152
外務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,3831,4229,-398
外務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,7557048,8468995,-911947
外務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,39623,44239,-4616
外務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,2893,2370,523
外務省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,1,30,-29
外務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,284,245,39
外務省,5,3,99,99,雑収入,諸収入,雑入,雑収,44491,38963,5528
財務省,1,1,01,01,租税及印紙収入,租税,所得税,源泉所得税,15744000000,16209000000,-465000000
財務省,1,1,01,02,租税及印紙収入,租税,所得税,申告所得税,2923000000,3320000000,-397000000
財務省,1,1,02,01,租税及印紙収入,租税,法人税,法人税,8997000000,12065000000,-3068000000
財務省,1,1,03,01,租税及印紙収入,租税,相続税,相続税,2229000000,2341000000,-112000000
財務省,1,1,20,01,租税及印紙収入,租税,消費税,消費税,20284000000,21719000000,-1435000000
財務省,1,1,04,01,租税及印紙収入,租税,酒税,酒税,1176000000,1265000000,-89000000
財務省,1,1,18,01,租税及印紙収入,租税,たばこ税,たばこ税,912000000,914000000,-2000000
財務省,1,1,06,01,租税及印紙収入,租税,揮発油税,揮発油税,2070000000,2204000000,-134000000
財務省,1,1,07,01,租税及印紙収入,租税,石油ガス税,石油ガス税,4000000,6000000,-2000000
財務省,1,1,17,01,租税及印紙収入,租税,航空機燃料税,航空機燃料税,37000000,54000000,-17000000
財務省,1,1,54,02,租税及印紙収入,租税,石油石炭税,石油石炭税,606000000,655000000,-49000000
財務省,1,1,23,01,租税及印紙収入,租税,電源開発促進税,電源開発促進税,305000000,315000000,-10000000
財務省,1,1,16,01,租税及印紙収入,租税,自動車重量税,自動車重量税,382000000,393000000,-11000000
財務省,1,1,25,01,租税及印紙収入,租税,国際観光旅客税,国際観光旅客税,30000000,54000000,-24000000
財務省,1,1,14,01,租税及印紙収入,租税,関税,関税,846000000,946000000,-100000000
財務省,1,1,15,01,租税及印紙収入,租税,とん税,とん税,9000000,10000000,-1000000
財務省,1,2,01,01,租税及印紙収入,印紙収入,印紙収入,収入印紙,535000000,672000000,-137000000
財務省,1,2,01,02,租税及印紙収入,印紙収入,印紙収入,現金収入,359000000,371000000,-12000000
財務省,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,34500000,38500000,-4000000
財務省,4,1,01,03,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,378000,305864,72136
財務省,4,1,01,04,政府資産整理収入,国有財産処分収入,国有財産売払収入,工作物売払代,6351,0,6351
財務省,4,1,01,09,政府資産整理収入,国有財産処分収入,国有財産売払収入,証券売払代,8352258,6485049,1867209
財務省,4,1,01,05,政府資産整理収入,国有財産処分収入,国有財産売払収入,船舶売払代,0,22495,-22495
財務省,4,1,02,01,政府資産整理収入,国有財産処分収入,特定国有財産売払収入,特定施設売払代,13172970,3785976,9386994
財務省,4,2,01,06,政府資産整理収入,回収金等収入,特別会計整理収入,産業投資特別会計整理収入,1658342,2714309,-1055967
財務省,4,2,01,12,政府資産整理収入,回収金等収入,特別会計整理収入,社会資本整備事業特別会計整理収入,29398644,35398404,-5999760
財務省,4,2,02,01,政府資産整理収入,回収金等収入,引継債権整理収入,公団引継債権整理収入,24,24,0
財務省,4,2,50,75,政府資産整理収入,回収金等収入,政府出資回収金収入,国立研究開発法人日本医療研究開発機構出資回収金,5928224,0,5928224
財務省,4,2,50,26,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人造幣局出資回収金,6734666,0,6734666
財務省,4,2,50,32,政府資産整理収入,回収金等収入,政府出資回収金収入,国立研究開発法人農業・食品産業技術総合研究機構出資回収金,96409,0,96409
財務省,4,2,50,35,政府資産整理収入,回収金等収入,政府出資回収金収入,国立研究開発法人水産研究・教育機構出資回収金,3000,0,3000
財務省,4,2,50,53,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人農林漁業信用基金出資回収金,3863294,5006176,-1142882
財務省,4,2,50,57,政府資産整理収入,回収金等収入,政府出資回収金収入,米州開発銀行出資回収金,0,16658923,-16658923
財務省,4,2,50,71,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人日本スポーツ振興センター出資回収金,0,1250000,-1250000
財務省,4,2,50,19,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人中小企業基盤整備機構出資回収金,0,41179,-41179
財務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,19601064,19044453,556611
財務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,1273510,1340413,-66903
財務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,17031941,17522584,-490643
財務省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,402,382,20
財務省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,22146,32984,-10838
財務省,5,1,04,02,雑収入,国有財産利用収入,利子収入,指定預金利子収入,771,771,0
財務省,5,1,03,01,雑収入,国有財産利用収入,配当金収入,日本銀行配当金収入,2750,2750,0
財務省,5,1,03,05,雑収入,国有財産利用収入,配当金収入,日本郵政株式会社配当金収入,60000004,60000004,0
財務省,5,1,03,06,雑収入,国有財産利用収入,配当金収入,日本アルコール産業株式会社配当金収入,12661,9680,2981
財務省,5,1,03,07,雑収入,国有財産利用収入,配当金収入,輸出入・港湾関連情報処理センター株式会社配当金収入,18804,18004,800
財務省,5,1,03,03,雑収入,国有財産利用収入,配当金収入,成田国際空港株式会社配当金収入,0,835920,-835920
財務省,5,2,01,01,雑収入,納付金,日本銀行納付金,日本銀行納付金,978300000,643500000,334800000
財務省,5,2,06,01,雑収入,納付金,独立行政法人造幣局納付金,独立行政法人造幣局納付金,1542240,7650749,-6108509
財務省,5,2,03,07,雑収入,納付金,雑納付金,株式会社国際協力銀行納付金,313125,216450,96675
財務省,5,2,03,09,雑収入,納付金,雑納付金,預金保険機構納付金,2772895,3119817,-346922
財務省,5,2,03,65,雑収入,納付金,雑納付金,独立行政法人酒類総合研究所納付金,38472,0,38472
財務省,5,2,03,87,雑収入,納付金,雑納付金,独立行政法人造幣局納付金,9737,0,9737
財務省,5,2,03,88,雑収入,納付金,雑納付金,独立行政法人国立印刷局納付金,149280,1263361,-1114081
財務省,5,3,03,09,雑収入,諸収入,特別会計受入金,外国為替資金特別会計受入金,1921330459,2590782630,-669452171
財務省,5,3,03,26,雑収入,諸収入,特別会計受入金,財政投融資特別会計受入金,72871,146199919,-146127048
財務省,5,3,03,30,雑収入,諸収入,特別会計受入金,エネルギー対策特別会計受入金,8,8,0
財務省,5,3,03,24,雑収入,諸収入,特別会計受入金,食料安定供給特別会計受入金,1,1,0
財務省,5,3,03,27,雑収入,諸収入,特別会計受入金,自動車安全特別会計受入金,2616534,2616534,0
財務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,923650,943146,-19496
財務省,5,3,06,02,雑収入,諸収入,許可及手数料,許可料,1421901,1417660,4241
財務省,5,3,07,07,雑収入,諸収入,受託調査試験及役務収入,地方消費税徴収取扱費受入,15982656,15887738,94918
財務省,5,3,08,04,雑収入,諸収入,懲罰及没収金,国税犯則者納金,282251,3900204,-3617953
財務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,978994,1036082,-57088
財務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,484096,484214,-118
財務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,415644,113523,302121
財務省,5,3,02,01,雑収入,諸収入,文官恩給費特別会計等負担金,文官恩給費特別会計等負担金,340009,446353,-106344
財務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,88576,97554,-8978
財務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,22566,26380,-3814
財務省,5,3,99,17,雑収入,諸収入,雑入,経過利子受入,57670292,51587791,6082501
財務省,5,3,99,99,雑収入,諸収入,雑入,雑収,934237,920935,13302
財務省,6,1,01,01,公債金,公債金,公債金,公債金,6341000000,18738000000,-12397000000
財務省,6,1,02,01,公債金,公債金,特例公債金,特例公債金,37256000000,71420924122,-34164924122
財務省,7,1,01,01,前年度剰余金受入,前年度剰余金受入,前年度剰余金受入,前年度剰余金受入,0,520689270,-520689270
財務省,7,1,02,01,前年度剰余金受入,前年度剰余金受入,東日本大震災復興前年度剰余金受入,前年度剰余金受入,0,6758262,-6758262
文部科学省,4,2,03,44,政府資産整理収入,回収金等収入,貸付金等回収金収入,育英資金貸付金償還金,50822055,37625211,13196844
文部科学省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,667345,634868,32477
文部科学省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,3269,3681,-412
文部科学省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,26848,26539,309
文部科学省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,15948,15470,478
文部科学省,5,2,04,01,雑収入,納付金,独立行政法人日本スポーツ振興センター納付金,独立行政法人日本スポーツ振興センター納付金,4809424,5573100,-763676
文部科学省,5,2,03,33,雑収入,納付金,雑納付金,独立行政法人国立特別支援教育総合研究所納付金,99651,0,99651
文部科学省,5,2,03,67,雑収入,納付金,雑納付金,独立行政法人大学入試センター納付金,1225857,0,1225857
文部科学省,5,2,03,34,雑収入,納付金,雑納付金,独立行政法人国立女性教育会館納付金,3695,0,3695
文部科学省,5,2,03,43,雑収入,納付金,雑納付金,独立行政法人国立美術館納付金,442117,0,442117
文部科学省,5,2,03,44,雑収入,納付金,雑納付金,独立行政法人国立文化財機構納付金,227340,0,227340
文部科学省,5,2,03,15,雑収入,納付金,雑納付金,独立行政法人教職員支援機構納付金,87806,0,87806
文部科学省,5,2,03,31,雑収入,納付金,雑納付金,国立研究開発法人日本医療研究開発機構納付金,0,678972,-678972
文部科学省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,30874,43848,-12974
文部科学省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,539,664,-125
文部科学省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,12045493,12034559,10934
文部科学省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,21083,25546,-4463
文部科学省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,4064,4032,32
文部科学省,5,3,99,04,雑収入,諸収入,雑入,延滞金,1678,3808,-2130
文部科学省,5,3,99,14,雑収入,諸収入,雑入,原子力損害賠償補償料等収入,4845278,4901602,-56324
文部科学省,5,3,99,99,雑収入,諸収入,雑入,雑収,1320131,1410858,-90727
厚生労働省,3,2,01,04,官業益金及官業収入,官業収入,病院収入,国立障害者リハビリテーションセンター病院収入,848478,966873,-118395
厚生労働省,3,2,01,05,官業益金及官業収入,官業収入,病院収入,国立ハンセン病療養所病院収入,11684,13696,-2012
厚生労働省,4,2,03,19,政府資産整理収入,回収金等収入,貸付金等回収金収入,母子父子寡婦福祉資金貸付金償還金,3328043,2935136,392907
厚生労働省,4,2,03,09,政府資産整理収入,回収金等収入,貸付金等回収金収入,公衆衛生修学資金貸付金償還金,0,1128,-1128
厚生労働省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,352837,335599,17238
厚生労働省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,44213,44314,-101
厚生労働省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,74884,79790,-4906
厚生労働省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,6026,574,5452
厚生労働省,5,2,03,02,雑収入,納付金,雑納付金,国立研究開発法人国立がん研究センター納付金,4878340,0,4878340
厚生労働省,5,2,03,57,雑収入,納付金,雑納付金,国立研究開発法人国立成育医療研究センター納付金,1968442,0,1968442
厚生労働省,5,3,03,28,雑収入,諸収入,特別会計受入金,年金特別会計受入金,789046,37402,751644
厚生労働省,5,3,05,01,雑収入,諸収入,授業料及入学検定料,授業料,74645,78984,-4339
厚生労働省,5,3,05,02,雑収入,諸収入,授業料及入学検定料,入学及検定料,16570,18992,-2422
厚生労働省,5,3,05,03,雑収入,諸収入,授業料及入学検定料,講習料,18615,16021,2594
厚生労働省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,80383,87008,-6625
厚生労働省,5,3,07,01,雑収入,諸収入,受託調査試験及役務収入,受託調査及試験収入,100220,97523,2697
厚生労働省,5,3,07,02,雑収入,諸収入,受託調査試験及役務収入,受託造修収入,71689,73480,-1791
厚生労働省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,34652,4557,30095
厚生労働省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,644441575,594869976,49571599
厚生労働省,5,3,11,01,雑収入,諸収入,物品売払収入,試験場製品等売払代,60838,82060,-21222
厚生労働省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,2427,2643,-216
厚生労働省,5,3,11,03,雑収入,諸収入,物品売払収入,特殊薬品売払代,18402,12117,6285
厚生労働省,5,3,11,07,雑収入,諸収入,物品売払収入,あへん売払代,0,268816,-268816
厚生労働省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,31456,23852,7604
厚生労働省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,23,44,-21
厚生労働省,5,3,99,04,雑収入,諸収入,雑入,延滞金,1895,1951,-56
厚生労働省,5,3,99,02,雑収入,諸収入,雑入,失業者退職手当特別会計等負担金,24591,34609,-10018
厚生労働省,5,3,99,09,雑収入,諸収入,雑入,労働保険審査会費特別会計負担金,282572,280914,1658
厚生労働省,5,3,99,99,雑収入,諸収入,雑入,雑収,843395,871917,-28522
農林水産省,3,2,03,01,官業益金及官業収入,官業収入,国有林野事業収入,国有林野事業収入,33755252,32210466,1544786
農林水産省,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,571574,463458,108116
農林水産省,4,1,01,02,政府資産整理収入,国有財産処分収入,国有財産売払収入,立木竹売払代,219834,169116,50718
農林水産省,4,2,03,37,政府資産整理収入,回収金等収入,貸付金等回収金収入,農地保有合理化促進対策資金貸付金償還金,16128,20158,-4030
農林水産省,4,2,03,38,政府資産整理収入,回収金等収入,貸付金等回収金収入,就農支援資金貸付金償還金,1181728,1243020,-61292
農林水産省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,204450,211359,-6909
農林水産省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,81839,84960,-3121
農林水産省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,713493,761237,-47744
農林水産省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,3546,5006,-1460
農林水産省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,915,1941,-1026
農林水産省,5,2,02,01,雑収入,納付金,日本中央競馬会納付金,日本中央競馬会納付金,329354579,327596468,1758111
農林水産省,5,2,03,46,雑収入,納付金,雑納付金,独立行政法人農林水産消費安全技術センター納付金,90150,147695,-57545
農林水産省,5,2,03,50,雑収入,納付金,雑納付金,独立行政法人家畜改良センター納付金,553442,0,553442
農林水産省,5,2,03,52,雑収入,納付金,雑納付金,国立研究開発法人農業・食品産業技術総合研究機構納付金,2353829,0,2353829
農林水産省,5,2,03,56,雑収入,納付金,雑納付金,国立研究開発法人国際農林水産業研究センター納付金,449210,0,449210
農林水産省,5,2,03,58,雑収入,納付金,雑納付金,国立研究開発法人森林研究・整備機構納付金,825093,0,825093
