主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,平成27年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
国会,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,947316,957940,-10624
国会,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,581018,478167,102851
国会,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,40272,41168,-896
国会,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,2510,2725,-215
国会,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,36,36,0
国会,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,215,902,-687
国会,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,19476,18455,1021
国会,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,5197,3225,1972
国会,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,2298,1958,340
国会,5,3,99,04,雑収入,諸収入,雑入,延滞金,5,5,0
国会,5,3,99,99,雑収入,諸収入,雑入,雑収,4781,5978,-1197
裁判所,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,76170,76497,-327
裁判所,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,68129,69981,-1852
裁判所,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,608279,702225,-93946
裁判所,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,6570,6417,153
裁判所,5,2,09,01,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,55600,58250,-2650
裁判所,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,2065430,1942315,123115
裁判所,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,55,0,55
裁判所,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,102649,118233,-15584
裁判所,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,71817,71142,675
裁判所,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,59145,56302,2843
裁判所,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,102915,107225,-4310
裁判所,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,12779,11866,913
裁判所,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,755,236,519
裁判所,5,3,99,04,雑収入,諸収入,雑入,延滞金,3878,3771,107
裁判所,5,3,99,05,雑収入,諸収入,雑入,期満後収入,3312,3268,44
裁判所,5,3,99,99,雑収入,諸収入,雑入,雑収,34813305,32311839,2501466
会計検査院,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,31,59,-28
会計検査院,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,34,35,-1
会計検査院,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,1537,15948,-14411
会計検査院,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,50,50,0
会計検査院,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,310,342,-32
会計検査院,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,1828,1769,59
会計検査院,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,251,169,82
会計検査院,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,1025,930,95
会計検査院,5,3,99,04,雑収入,諸収入,雑入,延滞金,2,1,1
会計検査院,5,3,99,99,雑収入,諸収入,雑入,雑収,496,504,-8
会計検査院,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,0,1,-1
内閣,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,19042,18995,47
内閣,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,1119,1036,83
内閣,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,5397,6122,-725
内閣,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,895,1102,-207
内閣,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,97,0,97
内閣,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,183,252,-69
