主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,平成23年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
国会,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,945056,1020885,-75829
国会,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,513353,539394,-26041
国会,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,37680,36810,870
国会,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,3354,4416,-1062
国会,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,36,36,0
国会,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,593,13,580
国会,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,5886,5312,574
国会,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,17985,14567,3418
国会,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,1964,1362,602
国会,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,10,10,0
国会,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,1,0
国会,5,3,99,99,雑収入,諸収入,雑入,雑収,24269,23388,881
裁判所,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,66113,68649,-2536
裁判所,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,70127,76520,-6393
裁判所,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,710515,761329,-50814
裁判所,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,9085,9003,82
裁判所,5,2,09,01,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,61880,57680,4200
裁判所,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1915760,1476080,439680
裁判所,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,10,27,-17
裁判所,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,148433,105733,42700
裁判所,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,53308,51681,1627
裁判所,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,54833,49126,5707
裁判所,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,70183,70889,-706
裁判所,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,13855,7400,6455
裁判所,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,264,452,-188
裁判所,5,3,99,04,雑収入,諸収入,雑入,延滞金,2781,2442,339
裁判所,5,3,99,05,雑収入,諸収入,雑入,期満後収入,13859,18712,-4853
裁判所,5,3,99,99,雑収入,諸収入,雑入,雑収,18117394,22513706,-4396312
会計検査院,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,57,66,-9
会計検査院,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,40,30,10
会計検査院,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,18694,21299,-2605
会計検査院,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,54,54,0
会計検査院,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,405,554,-149
会計検査院,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,1127,1367,-240
会計検査院,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,679,778,-99
会計検査院,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,784,454,330
会計検査院,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,10,10,0
会計検査院,5,3,99,04,雑収入,諸収入,雑入,延滞金,21,23,-2
会計検査院,5,3,99,99,雑収入,諸収入,雑入,雑収,492,298,194
内閣,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,18018,17506,512
内閣,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,2847,1519,1328
内閣,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,7988,8978,-990
内閣,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,1146,1701,-555
内閣,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1221,482,739
内閣,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,449,449,0
内閣,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,1516527,1254786,261741
内閣,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,1814,699,1115
内閣,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,4664,3148,1516
内閣,5,3,99,04,雑収入,諸収入,雑入,延滞金,387,27,360
内閣,5,3,99,99,雑収入,諸収入,雑入,雑収,20966,21944,-978
内閣府,3,2,01,01,官業益金及官業収入,官業収入,病院収入,宮内庁病院収入,43067,46327,-3260
内閣府,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,268284,662538,-394254
内閣府,4,1,01,03,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,1334,2059,-725
内閣府,4,1,01,05,政府資産整理収入,国有財産処分収入,国有財産売払収入,船舶売払代,3790,5264,-1474
内閣府,4,1,01,50,政府資産整理収入,国有財産処分収入,国有財産売払収入,航空機売払代,189468,131100,58368
内閣府,4,1,01,04,政府資産整理収入,国有財産処分収入,国有財産売払収入,工作物売払代,0,89,-89
内閣府,4,2,03,32,政府資産整理収入,回収金等収入,貸付金等回収金収入,総合研究開発機構無利子貸付金償還金,3110000,0,3110000
内閣府,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,253804,263986,-10182
内閣府,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,68494,66181,2313
内閣府,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,583602,591841,-8239
内閣府,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,2934,3004,-70
内閣府,5,1,02,05,雑収入,国有財産利用収入,国有財産使用収入,公益認定等総合情報システム利用料収入,25514,25514,0
内閣府,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,187,571,-384
内閣府,5,2,03,04,雑収入,納付金,雑納付金,公認会計士法違反者納付金,26820,22740,4080
内閣府,5,2,03,05,雑収入,納付金,雑納付金,価格協定等違反者納付金,16310096,24574378,-8264282
内閣府,5,2,03,06,雑収入,納付金,雑納付金,金融商品取引法違反者納付金,624720,931400,-306680
内閣府,5,2,03,17,雑収入,納付金,雑納付金,独立行政法人国立公文書館納付金,0,280784,-280784
内閣府,5,3,03,27,雑収入,諸収入,特別会計受入金,自動車安全特別会計受入金,140524,131077,9447
内閣府,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1535,139,1396
内閣府,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,65611,59753,5858
内閣府,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,167025,124157,42868
内閣府,5,3,11,01,雑収入,諸収入,物品売払収入,試験場製品等売払代,4961,5231,-270
内閣府,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,154827,128488,26339
内閣府,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,16536,9454,7082
内閣府,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,1,1,0
内閣府,5,3,99,04,雑収入,諸収入,雑入,延滞金,9005,10192,-1187
内閣府,5,3,99,99,雑収入,諸収入,雑入,雑収,58985,40673,18312
総務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,43251,53675,-10424
総務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,77327,83819,-6492
総務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,42430,40436,1994
総務省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,3,78,-75
総務省,5,2,03,11,雑収入,納付金,雑納付金,独立行政法人情報通信研究機構納付金,467519,4220522,-3753003
総務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,674793,818750,-143957
総務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,3722,3309,413
総務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,936413,919544,16869
総務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,3668,388,3280
総務省,5,3,15,01,雑収入,諸収入,電波利用料収入,電波利用料収入,71825028,71185028,640000
総務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,46728,33084,13644
総務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,4033,2272,1761
総務省,5,3,99,99,雑収入,諸収入,雑入,雑収,698757,657854,40903
法務省,4,2,01,10,政府資産整理収入,回収金等収入,特別会計整理収入,登記特別会計整理収入,6706558,0,6706558
法務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,172167,168807,3360
法務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,141664,135259,6405
法務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,401423,423161,-21738
法務省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,60,60,0
法務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,37891806,20879,37870927
法務省,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,1050744,1333200,-282456
法務省,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,1037638,1075254,-37616
法務省,5,3,08,01,雑収入,諸収入,懲罰及没収金,罰金及科料,63189821,65027847,-1838026
法務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,627104,650208,-23104
法務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,619925,608082,11843
法務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,137342,120975,16367
法務省,5,3,10,01,雑収入,諸収入,矯正官署作業収入,刑務所作業収入,4872543,4600876,271667
法務省,5,3,10,02,雑収入,諸収入,矯正官署作業収入,少年院職業補導収入,10551,12463,-1912
法務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,38556,9911,28645
法務省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,50808,65692,-14884
法務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,1962,1530,432
法務省,5,3,99,05,雑収入,諸収入,雑入,期満後収入,2479422,2556360,-76938
法務省,5,3,99,99,雑収入,諸収入,雑入,雑収,278359,269220,9139
法務省,5,3,03,21,雑収入,諸収入,特別会計受入金,登記特別会計受入金,0,1100000,-1100000
法務省,5,2,03,01,雑収入,納付金,雑納付金,日本司法支援センター納付金,0,1182770,-1182770
外務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,5740,2417,3323
外務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,80187,69094,11093
外務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,535086,672554,-137468
外務省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,55,71,-16
外務省,5,1,04,01,雑収入,国有財産利用収入,利子収入,預託金利子収入,28765,31986,-3221
外務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,5099524,4888474,211050
外務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,1002,882,120
外務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,3478892,4880928,-1402036
外務省,5,3,11,02,雑収入,諸収入,物品売払収入,刊行物売払代,1650,4145,-2495
外務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,46920,57598,-10678
外務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,2735,1374,1361
外務省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,86,435,-349
外務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,30,28,2
外務省,5,3,99,99,雑収入,諸収入,雑入,雑収,69417,59566,9851
財務省,1,1,01,01,租税及印紙収入,租税,所得税,源泉所得税,11172000000,10491000000,681000000
財務省,1,1,01,02,租税及印紙収入,租税,所得税,申告所得税,2318000000,2317000000,1000000
財務省,1,1,02,01,租税及印紙収入,租税,法人税,法人税,7792000000,7489000000,303000000
財務省,1,1,03,01,租税及印紙収入,租税,相続税,相続税,1423000000,1271000000,152000000
財務省,1,1,20,01,租税及印紙収入,租税,消費税,消費税,10199000000,10155000000,44000000
財務省,1,1,04,01,租税及印紙収入,租税,酒税,酒税,1348000000,1383000000,-35000000
財務省,1,1,18,01,租税及印紙収入,租税,たばこ税,たばこ税,816000000,827000000,-11000000
財務省,1,1,06,01,租税及印紙収入,租税,揮発油税,揮発油税,2634000000,2576000000,58000000
財務省,1,1,07,01,租税及印紙収入,租税,石油ガス税,石油ガス税,12000000,12000000,0
財務省,1,1,17,01,租税及印紙収入,租税,航空機燃料税,航空機燃料税,46000000,77000000,-31000000
