所管,組織,項コード,主要経費別分類コード,目的別分類コード,財政法公債金対象非対象別分類コード,経済性質別分類コード,使途別分類コード,目別分類コード,項名,目名,平成23年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,001,95,011,2,12,9,99,内廷費,(内廷費),324000,324000,0
皇室費,皇室費,002,95,011,2,12,9,06,宮廷費,諸謝金,29887,29611,276
皇室費,皇室費,002,95,011,2,95,9,07,宮廷費,報償費,220328,221136,-808
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,庁費,1781303,1824327,-43024
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,招宴費,62679,62140,539
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,各所修繕,1891866,1958445,-66579
皇室費,皇室費,002,95,199,2,13,3,09,宮廷費,自動車重量税,1450,1468,-18
皇室費,皇室費,002,95,011,2,20,4,15,宮廷費,施設整備費,1639121,1500722,138399
皇室費,皇室費,002,95,011,2,12,9,17,宮廷費,交際費,57150,57150,0
皇室費,皇室費,003,95,011,2,12,9,99,皇族費,(皇族費),288225,283396,4829
国会,衆議院,001,95,012,2,11,1,01,衆議院,議員歳費,10129261,10288410,-159149
国会,衆議院,001,95,012,2,11,1,02,衆議院,職員基本給,8454055,8458429,-4374
国会,衆議院,001,95,012,2,11,1,03,衆議院,職員諸手当,3925222,4085416,-160194
国会,衆議院,001,95,012,2,11,1,04,衆議院,超過勤務手当,1407933,1408915,-982
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書手当,11832166,12059901,-227735
国会,衆議院,001,95,012,2,11,1,05,衆議院,非常勤職員手当,177907,178310,-403
国会,衆議院,001,95,012,2,11,1,05,衆議院,休職者給与,41836,31388,10448
国会,衆議院,001,95,012,2,11,1,05,衆議院,短時間勤務職員給与,70315,76414,-6099
国会,衆議院,001,95,012,2,15,1,05,衆議院,公務災害補償費,15325,17229,-1904
国会,衆議院,001,95,012,2,11,1,05,衆議院,退職手当,1816370,1983809,-167439
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書退職手当,413334,416009,-2675
国会,衆議院,001,95,012,2,15,1,05,衆議院,弔慰金,41408,62256,-20848
国会,衆議院,001,95,089,2,11,1,05,衆議院,子ども手当,100868,79430,21438
国会,衆議院,001,95,089,2,11,1,05,衆議院,児童手当,0,5040,-5040
国会,衆議院,001,95,012,2,12,9,06,衆議院,諸謝金,8276,8297,-21
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員旅費,265927,265927,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員文書通信交通滞在費,5760000,5760000,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議会雑費,26100,26100,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,職員旅費,156879,157661,-782
国会,衆議院,001,95,012,2,12,2,08,衆議院,赴任旅費,2456,2456,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,証人等旅費,15371,15371,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,庁費,1163945,1285284,-121339
国会,衆議院,001,95,012,2,12,3,09,衆議院,情報処理業務庁費,1807990,2365823,-557833
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員会館管理等運営庁費,3510263,3343742,166521
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員特殊乗車券等購入費,817872,817872,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,国会活動啓発費,25923,27287,-1364
国会,衆議院,001,95,012,2,12,3,09,衆議院,議案類印刷費,741020,762020,-21000
国会,衆議院,001,95,012,2,12,3,09,衆議院,招へい外国人滞在費,87357,87357,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,各所修繕,67581,70145,-2564
国会,衆議院,001,95,012,2,12,3,09,衆議院,国政調査活動費,440646,425466,15180
国会,衆議院,001,95,012,2,12,3,09,衆議院,公共施設等維持管理運営費,5087937,4297874,790063
国会,衆議院,001,95,199,2,13,3,09,衆議院,自動車重量税,1280,2310,-1030
国会,衆議院,001,95,012,2,12,3,11,衆議院,立法事務費,3744000,3730870,13130
国会,衆議院,001,95,012,2,11,5,16,衆議院,国家公務員共済組合負担金,2361777,2448170,-86393
国会,衆議院,001,95,012,2,11,5,16,衆議院,基礎年金国家公務員共済組合負担金,530294,492365,37929
国会,衆議院,001,95,029,2,13,5,16,衆議院,国有資産所在市町村交付金,518099,542235,-24136
国会,衆議院,001,95,012,2,72,5,16,衆議院,列国議会同盟分担金,118796,123500,-4704
国会,衆議院,001,95,012,2,12,9,17,衆議院,交際費,58063,58063,0
国会,衆議院,001,95,012,2,95,9,18,衆議院,賠償償還及払戻金,2467,2467,0
国会,衆議院,002,95,012,1,20,2,08,衆議院施設費,施設施工旅費,1241,1460,-219
国会,衆議院,002,95,012,1,20,3,09,衆議院施設費,施設施工庁費,15678,29317,-13639
国会,衆議院,002,95,012,1,20,4,15,衆議院施設費,施設整備費,1253310,1267278,-13968
国会,衆議院,002,95,012,1,20,4,15,衆議院施設費,不動産購入費,7247843,11247058,-3999215
国会,衆議院,009,95,012,2,95,9,99,衆議院予備経費,(国会予備経費),7000,7000,0
国会,参議院,011,95,012,2,11,1,01,参議院,議員歳費,5116248,5284832,-168584
国会,参議院,011,95,012,2,11,1,02,参議院,職員基本給,6801932,6744514,57418
国会,参議院,011,95,012,2,11,1,03,参議院,職員諸手当,3156392,3272248,-115856
国会,参議院,011,95,012,2,11,1,04,参議院,超過勤務手当,1107661,1111948,-4287
国会,参議院,011,95,012,2,11,1,05,参議院,議員秘書手当,6039301,6318083,-278782
国会,参議院,011,95,012,2,11,1,05,参議院,非常勤職員手当,138248,145314,-7066
国会,参議院,011,95,012,2,11,1,05,参議院,休職者給与,35481,26632,8849
国会,参議院,011,95,012,2,11,1,05,参議院,短時間勤務職員給与,56844,57533,-689
国会,参議院,011,95,012,2,15,1,05,参議院,公務災害補償費,1034,1078,-44
国会,参議院,011,95,012,2,11,1,05,参議院,退職手当,1705856,1647001,58855
国会,参議院,011,95,012,2,11,1,05,参議院,議員秘書退職手当,210192,1033122,-822930
国会,参議院,011,95,012,2,15,1,05,参議院,弔慰金,41408,41504,-96
国会,参議院,011,95,089,2,11,1,05,参議院,子ども手当,79181,59280,19901
国会,参議院,011,95,089,2,11,1,05,参議院,児童手当,0,3210,-3210
国会,参議院,011,95,012,2,12,9,06,参議院,諸謝金,7559,8411,-852
国会,参議院,011,95,012,2,12,2,08,参議院,議員旅費,147775,146521,1254
国会,参議院,011,95,012,2,12,2,08,参議院,議員文書通信交通滞在費,2904000,2964000,-60000
国会,参議院,011,95,012,2,12,2,08,参議院,議会雑費,28800,28800,0
国会,参議院,011,95,012,2,12,2,08,参議院,職員旅費,93952,96634,-2682
国会,参議院,011,95,012,2,12,2,08,参議院,赴任旅費,1926,1288,638
国会,参議院,011,95,012,2,12,2,08,参議院,証人等旅費,10967,11574,-607
国会,参議院,011,95,012,2,12,3,09,参議院,庁費,635733,655534,-19801
国会,参議院,011,95,012,2,12,3,09,参議院,情報処理業務庁費,1125286,1295054,-169768
国会,参議院,011,95,012,2,12,3,09,参議院,議員会館管理等運営庁費,2451608,2519156,-67548
国会,参議院,011,95,012,2,12,3,09,参議院,議員特殊乗車券等購入費,448141,448141,0
国会,参議院,011,95,012,2,12,3,09,参議院,国会活動啓発費,28886,30410,-1524
国会,参議院,011,95,012,2,12,3,09,参議院,議案類印刷費,480245,514498,-34253
国会,参議院,011,95,012,2,12,3,09,参議院,招へい外国人滞在費,59262,62364,-3102
国会,参議院,011,95,012,2,12,3,09,参議院,各所修繕,69777,76149,-6372
国会,参議院,011,95,012,2,12,3,09,参議院,国政調査活動費,271315,290466,-19151
国会,参議院,011,95,012,2,12,3,09,参議院,公共施設等維持管理運営費,2044670,1675468,369202
国会,参議院,011,95,199,2,13,3,09,参議院,自動車重量税,1455,1475,-20
国会,参議院,011,95,012,2,12,3,09,参議院,建物借料,0,4457,-4457
国会,参議院,011,95,012,2,12,3,11,参議院,立法事務費,1887600,1884216,3384
国会,参議院,011,95,012,2,11,5,16,参議院,国家公務員共済組合負担金,1811469,1850646,-39177
国会,参議院,011,95,012,2,11,5,16,参議院,基礎年金国家公務員共済組合負担金,419786,387917,31869
国会,参議院,011,95,029,2,13,5,16,参議院,国有資産所在市町村交付金,263349,260034,3315
国会,参議院,011,95,012,2,12,9,17,参議院,交際費,32114,33297,-1183
国会,参議院,011,95,012,2,95,9,18,参議院,賠償償還及払戻金,2360,2360,0
国会,参議院,012,95,012,1,20,2,08,参議院施設費,施設施工旅費,3000,3867,-867
国会,参議院,012,95,012,1,20,3,09,参議院施設費,施設施工庁費,48369,74213,-25844
国会,参議院,012,95,012,1,20,4,15,参議院施設費,施設整備費,1424843,1500635,-75792
国会,参議院,012,95,012,1,20,4,15,参議院施設費,不動産購入費,3911411,6072412,-2161001
国会,参議院,019,95,012,2,95,9,99,参議院予備経費,(国会予備経費),5000,5000,0
国会,国立国会図書館,021,95,012,2,11,1,02,国立国会図書館,職員基本給,4316418,4188500,127918
国会,国立国会図書館,021,95,012,2,11,1,03,国立国会図書館,職員諸手当,2113701,2139710,-26009
国会,国立国会図書館,021,95,012,2,11,1,04,国立国会図書館,超過勤務手当,437074,435620,1454
国会,国立国会図書館,021,95,012,2,11,1,05,国立国会図書館,非常勤職員手当,185998,186765,-767
国会,国立国会図書館,021,95,012,2,11,1,05,国立国会図書館,休職者給与,38494,28085,10409
国会,国立国会図書館,021,95,012,2,11,1,05,国立国会図書館,国際機関等派遣職員給与,5356,6272,-916
国会,国立国会図書館,021,95,012,2,11,1,05,国立国会図書館,短時間勤務職員給与,62779,61015,1764
国会,国立国会図書館,021,95,012,2,15,1,05,国立国会図書館,公務災害補償費,2484,3495,-1011
国会,国立国会図書館,021,95,012,2,11,1,05,国立国会図書館,退職手当,694621,966772,-272151
国会,国立国会図書館,021,95,089,2,11,1,05,国立国会図書館,子ども手当,35890,23920,11970
国会,国立国会図書館,021,95,089,2,11,1,05,国立国会図書館,児童手当,0,1280,-1280
国会,国立国会図書館,021,95,012,2,12,9,06,国立国会図書館,諸謝金,24022,20923,3099
国会,国立国会図書館,021,95,012,2,12,2,08,国立国会図書館,職員旅費,60140,61535,-1395
国会,国立国会図書館,021,95,012,2,12,2,08,国立国会図書館,赴任旅費,12318,6559,5759
国会,国立国会図書館,021,95,012,2,12,2,08,国立国会図書館,委員等旅費,3517,3543,-26
国会,国立国会図書館,021,95,012,2,12,2,08,国立国会図書館,外国人招へい旅費,8343,8343,0
国会,国立国会図書館,021,95,012,2,12,3,09,国立国会図書館,庁費,99375,105256,-5881
