主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,令和6年度予算額,前年度予算額(千円),比較増△減額(千円)
厚生労働省,3,2,01,05,官業益金及官業収入,官業収入,病院収入,国立ハンセン病療養所病院収入,3713,6321,-2608
厚生労働省,4,1,50,01,政府資産整理収入,国有財産処分収入,有償管理換収入,有償管理換収入,170000,0,170000
厚生労働省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,371253,363429,7824
厚生労働省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,38904,38646,258
厚生労働省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,59821,66636,-6815
厚生労働省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,6330,6171,159
厚生労働省,5,3,03,28,雑収入,諸収入,特別会計受入金,年金特別会計受入金,108371,188970,-80599
厚生労働省,5,3,34,05,雑収入,諸収入,防衛力強化特別会計受入金,労働保険特別会計受入金,196420693,0,196420693
厚生労働省,5,3,05,01,雑収入,諸収入,授業料及入学検定料,授業料,69355,73532,-4177
厚生労働省,5,3,05,02,雑収入,諸収入,授業料及入学検定料,入学及検定料,17013,17111,-98
厚生労働省,5,3,05,03,雑収入,諸収入,授業料及入学検定料,講習料,18836,17168,1668
厚生労働省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,72080,80110,-8030
厚生労働省,5,3,07,01,雑収入,諸収入,受託調査試験及役務収入,受託調査及試験収入,76919,86894,-9975
厚生労働省,5,3,07,02,雑収入,諸収入,受託調査試験及役務収入,受託造修収入,63760,62037,1723
厚生労働省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,137347,97147,40200
厚生労働省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,608460170,840063815,-231603645
厚生労働省,5,3,11,01,雑収入,諸収入,物品売払収入,試験場製品等売払代,73477,71686,1791
厚生労働省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,11073,3536,7537
厚生労働省,5,3,11,03,雑収入,諸収入,物品売払収入,特殊薬品売払代,14059,10516,3543
厚生労働省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,62200,50892,11308
厚生労働省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,13,11,2
厚生労働省,5,3,99,04,雑収入,諸収入,雑入,延滞金,38636,13608,25028
厚生労働省,5,3,99,02,雑収入,諸収入,雑入,失業者退職手当特別会計等負担金,113764,103499,10265
厚生労働省,5,3,99,09,雑収入,諸収入,雑入,労働保険審査会費特別会計負担金,311920,302343,9577
厚生労働省,5,3,99,99,雑収入,諸収入,雑入,雑収,622621,712153,-89532
厚生労働省,5,3,35,01,雑収入,諸収入,防衛力強化弁償及返納金,返納金,0,162854449,-162854449
厚生労働省,5,2,03,97,雑収入,納付金,雑納付金,独立行政法人高齢・障害・求職者雇用支援機構納付金,0,516230,-516230
厚生労働省,5,2,03,12,雑収入,納付金,雑納付金,独立行政法人国立重度知的障害者総合施設のぞみの園納付金,0,12160,-12160
厚生労働省,5,2,03,84,雑収入,納付金,雑納付金,独立行政法人水資源機構納付金,0,1776,-1776
厚生労働省,5,2,13,01,雑収入,納付金,防衛力強化雑納付金,独立行政法人国立病院機構特別国庫納付金,0,42200000,-42200000
厚生労働省,5,2,13,02,雑収入,納付金,防衛力強化雑納付金,独立行政法人地域医療機能推進機構特別国庫納付金,0,32400000,-32400000
農林水産省,3,2,03,01,官業益金及官業収入,官業収入,国有林野事業収入,国有林野事業収入,38296112,35438206,2857906
農林水産省,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,863888,737168,126720
農林水産省,4,1,01,02,政府資産整理収入,国有財産処分収入,国有財産売払収入,立木竹売払代,264841,242009,22832
農林水産省,4,2,03,37,政府資産整理収入,回収金等収入,貸付金等回収金収入,農地保有合理化促進対策資金貸付金償還金,9289,11167,-1878
農林水産省,4,2,03,38,政府資産整理収入,回収金等収入,貸付金等回収金収入,就農支援資金貸付金償還金,724852,864732,-139880
農林水産省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,191667,187867,3800
農林水産省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,72786,72710,76
農林水産省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,656610,670933,-14323
農林水産省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,597,773,-176
農林水産省,5,2,02,01,雑収入,納付金,日本中央競馬会納付金,日本中央競馬会納付金,369971609,360839248,9132361
農林水産省,5,2,03,46,雑収入,納付金,雑納付金,独立行政法人農林水産消費安全技術センター納付金,311559,371596,-60037
農林水産省,5,2,03,81,雑収入,納付金,雑納付金,独立行政法人農畜産業振興機構納付金,11263,1957560,-1946297
農林水産省,5,2,03,82,雑収入,納付金,雑納付金,独立行政法人農業者年金基金納付金,0,1231541,-1231541
農林水産省,5,2,03,84,雑収入,納付金,雑納付金,独立行政法人水資源機構納付金,0,16353,-16353
農林水産省,5,2,12,06,雑収入,納付金,東日本大震災復興雑納付金,独立行政法人農畜産業振興機構納付金,0,1705,-1705
農林水産省,5,3,03,24,雑収入,諸収入,特別会計受入金,食料安定供給特別会計受入金,2590213,3407664,-817451
農林水産省,5,3,28,01,雑収入,諸収入,東日本大震災復興食料安定供給特別会計受入金,食料安定供給特別会計受入金,1005,1005,0
農林水産省,5,3,04,03,雑収入,諸収入,公共事業費負担金,海岸整備事業費負担金,774375,946085,-171710
農林水産省,5,3,04,04,雑収入,諸収入,公共事業費負担金,治山事業費負担金,3219423,4226578,-1007155
農林水産省,5,3,04,01,雑収入,諸収入,公共事業費負担金,土地改良事業費負担金,31122659,36082382,-4959723
農林水産省,5,3,04,13,雑収入,諸収入,公共事業費負担金,地すべり対策事業費負担金,204890,209424,-4534
農林水産省,5,3,04,05,雑収入,諸収入,公共事業費負担金,特定漁港漁場整備事業費負担金,3963699,5373575,-1409876
農林水産省,5,3,04,06,雑収入,諸収入,公共事業費負担金,農業用施設災害復旧事業費負担金,62618,46440,16178
農林水産省,5,3,04,14,雑収入,諸収入,公共事業費負担金,直轄地すべり防止施設災害復旧費負担金,4256,4256,0
農林水産省,5,3,04,10,雑収入,諸収入,公共事業費負担金,治山災害復旧事業費負担金,33500,233168,-199668
農林水産省,5,3,04,16,雑収入,諸収入,公共事業費負担金,漁港災害復旧事業費負担金,16324,16324,0
農林水産省,5,3,04,15,雑収入,諸収入,公共事業費負担金,直轄地すべり対策災害関連緊急事業費負担金,5330,5474,-144
農林水産省,5,3,04,12,雑収入,諸収入,公共事業費負担金,治山等災害関連緊急事業費負担金,18260,255976,-237716
農林水産省,5,3,32,01,雑収入,諸収入,東日本大震災復興公共事業費負担金,土地改良事業費負担金,3224,3224,0
農林水産省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,220177,124615,95562
農林水産省,5,3,07,01,雑収入,諸収入,受託調査試験及役務収入,受託調査及試験収入,207,207,0
農林水産省,5,3,07,03,雑収入,諸収入,受託調査試験及役務収入,受託研究員費受入,116,116,0
農林水産省,5,3,07,04,雑収入,諸収入,受託調査試験及役務収入,受託測量等収入,729,729,0
農林水産省,5,3,07,06,雑収入,諸収入,受託調査試験及役務収入,受託工事収入,6181297,5766122,415175
農林水産省,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,1000,5165,-4165
農林水産省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,99654,86668,12986
農林水産省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,23388837,24137733,-748896
農林水産省,5,3,11,01,雑収入,諸収入,物品売払収入,試験場製品等売払代,13853,740,13113
農林水産省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,304923,212380,92543
農林水産省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,82385,60805,21580
農林水産省,5,3,99,04,雑収入,諸収入,雑入,延滞金,17480,15308,2172
農林水産省,5,3,99,99,雑収入,諸収入,雑入,雑収,1854252,1710054,144198
農林水産省,5,3,35,01,雑収入,諸収入,防衛力強化弁償及返納金,返納金,0,14445139,-14445139
経済産業省,4,2,01,03,政府資産整理収入,回収金等収入,特別会計整理収入,貿易特別会計整理収入,118,123,-5
経済産業省,4,2,01,04,政府資産整理収入,回収金等収入,特別会計整理収入,米国対日援助物資等処理特別会計整理収入,12,12,0
経済産業省,4,2,03,25,政府資産整理収入,回収金等収入,貸付金等回収金収入,小規模企業者等設備導入資金貸付金償還金,40606,637287,-596681
経済産業省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,58365,59084,-719
経済産業省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,97384,128747,-31363
経済産業省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,8957,8533,424
経済産業省,5,2,10,01,雑収入,納付金,特定アルコール譲渡者納付金,特定アルコール譲渡者納付金,10070120,10520180,-450060
経済産業省,5,2,03,62,雑収入,納付金,雑納付金,独立行政法人経済産業研究所納付金,48361,0,48361
経済産業省,5,2,03,63,雑収入,納付金,雑納付金,独立行政法人製品評価技術基盤機構納付金,85285,93834,-8549
経済産業省,5,2,03,16,雑収入,納付金,雑納付金,独立行政法人中小企業基盤整備機構納付金,324052526,0,324052526
経済産業省,5,2,03,76,雑収入,納付金,雑納付金,国立研究開発法人新エネルギー・産業技術総合開発機構納付金,0,3457049,-3457049
経済産業省,5,2,03,70,雑収入,納付金,雑納付金,独立行政法人日本貿易振興機構納付金,0,3969090,-3969090
経済産業省,5,2,03,77,雑収入,納付金,雑納付金,独立行政法人情報処理推進機構納付金,0,4614834,-4614834
経済産業省,5,2,03,78,雑収入,納付金,雑納付金,独立行政法人エネルギー・金属鉱物資源機構納付金,0,1840846,-1840846
経済産業省,5,2,03,84,雑収入,納付金,雑納付金,独立行政法人水資源機構納付金,0,3041,-3041
経済産業省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,160,160,0
経済産業省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,5316,4430,886
経済産業省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,3125189,10978751,-7853562
経済産業省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,94359,99693,-5334
経済産業省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,16299,11798,4501
経済産業省,5,3,99,04,雑収入,諸収入,雑入,延滞金,2019,2159,-140
経済産業省,5,3,99,99,雑収入,諸収入,雑入,雑収,976954,1290733,-313779
経済産業省,5,3,35,01,雑収入,諸収入,防衛力強化弁償及返納金,返納金,0,313357735,-313357735
国土交通省,4,1,01,05,政府資産整理収入,国有財産処分収入,国有財産売払収入,船舶売払代,601,1026,-425
国土交通省,4,1,01,50,政府資産整理収入,国有財産処分収入,国有財産売払収入,航空機売払代,0,322968,-322968
国土交通省,4,2,01,12,政府資産整理収入,回収金等収入,特別会計整理収入,社会資本整備事業特別会計整理収入,57281843,57431678,-149835
国土交通省,4,2,03,35,政府資産整理収入,回収金等収入,貸付金等回収金収入,都市開発資金貸付金償還金,3702683,3685622,17061
国土交通省,4,2,03,39,政府資産整理収入,回収金等収入,貸付金等回収金収入,有料道路整備資金貸付金償還金,11870584,12696729,-826145
国土交通省,4,2,03,40,政府資産整理収入,回収金等収入,貸付金等回収金収入,連続立体交差事業資金貸付金償還金,20005,18339,1666
国土交通省,4,2,03,41,政府資産整理収入,回収金等収入,貸付金等回収金収入,埠頭整備等資金貸付金償還金,3332404,3722699,-390295
国土交通省,4,2,03,42,政府資産整理収入,回収金等収入,貸付金等回収金収入,港湾開発資金貸付金償還金,140372,140372,0
国土交通省,4,2,03,43,政府資産整理収入,回収金等収入,貸付金等回収金収入,港湾物流高度化基盤施設整備資金貸付金償還金,12408,12408,0
国土交通省,4,2,03,46,政府資産整理収入,回収金等収入,貸付金等回収金収入,自動運行補助施設設置工事資金貸付金償還金,130,130,0
国土交通省,4,2,04,01,政府資産整理収入,回収金等収入,東日本大震災復興貸付金等回収金収入,埠頭災害復旧事業資金貸付金償還金,7392,7392,0
国土交通省,4,2,04,02,政府資産整理収入,回収金等収入,東日本大震災復興貸付金等回収金収入,空港機能施設災害復旧事業資金貸付金償還金,209066,209066,0
国土交通省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,222796,213563,9233
国土交通省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,570965,549303,21662
国土交通省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,1554802,1592797,-37995
国土交通省,5,1,01,04,雑収入,国有財産利用収入,国有財産貸付収入,機械貸付料,6898,7823,-925
国土交通省,5,1,01,06,雑収入,国有財産利用収入,国有財産貸付収入,港湾施設貸付料,955855,920667,35188
国土交通省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,180948,188975,-8027
国土交通省,5,1,02,03,雑収入,国有財産利用収入,国有財産使用収入,入場料等収入,2301656,1815564,486092
国土交通省,5,1,02,06,雑収入,国有財産利用収入,国有財産使用収入,電子情報処理組織使用料収入,141191,331206,-190015
国土交通省,5,1,04,06,雑収入,国有財産利用収入,利子収入,都市開発資金貸付金利子収入,11210,6880,4330
国土交通省,5,2,11,01,雑収入,納付金,特定タンカー所有者納付金,特定タンカー所有者納付金,420000,320000,100000
国土交通省,5,2,03,22,雑収入,納付金,雑納付金,国立研究開発法人土木研究所納付金,0,4654,-4654
国土交通省,5,2,03,20,雑収入,納付金,雑納付金,国立研究開発法人海上・港湾・航空技術研究所納付金,0,593795,-593795
国土交通省,5,2,03,85,雑収入,納付金,雑納付金,独立行政法人鉄道建設・運輸施設整備支援機構納付金,0,215564,-215564
