主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,平成29年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
国会,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,1046455,992518,53937
国会,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,644715,574058,70657
国会,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,42795,46283,-3488
国会,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,1719,2272,-553
国会,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,36,36,0
国会,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,174,183,-9
国会,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,15447,14986,461
国会,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,7055,6259,796
国会,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,2412,2646,-234
国会,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,5,-4
国会,5,3,99,99,雑収入,諸収入,雑入,雑収,992,1056,-64
裁判所,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,82425,78177,4248
裁判所,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,123149,68651,54498
裁判所,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,603896,643441,-39545
裁判所,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,5208,5635,-427
裁判所,5,2,09,01,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,50860,52060,-1200
裁判所,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,2058640,2198932,-140292
裁判所,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,159,125,34
裁判所,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,102336,92500,9836
裁判所,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,78783,72742,6041
裁判所,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,54748,57325,-2577
裁判所,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,99053,107029,-7976
裁判所,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,11428,13233,-1805
裁判所,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,571,634,-63
裁判所,5,3,99,04,雑収入,諸収入,雑入,延滞金,3548,3871,-323
裁判所,5,3,99,05,雑収入,諸収入,雑入,期満後収入,2344,2675,-331
裁判所,5,3,99,99,雑収入,諸収入,雑入,雑収,39717804,38200645,1517159
会計検査院,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,17,17,0
会計検査院,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,13,32,-19
会計検査院,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,1233,1148,85
会計検査院,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,22,22,0
会計検査院,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,97,112,-15
会計検査院,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,2032,2625,-593
会計検査院,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,1174,228,946
会計検査院,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,1071,1084,-13
