所管,組織,項コード,主要経費別分類コード,目的別分類コード,財政法公債金対象非対象別分類コード,経済性質別分類コード,使途別分類コード,目別分類コード,項名,目名,平成29年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,001,95,011,2,12,9,99,内廷費,(内廷費),324000,324000,0
皇室費,皇室費,002,95,011,2,12,9,06,宮廷費,諸謝金,25756,28739,-2983
皇室費,皇室費,002,95,011,2,95,9,07,宮廷費,報償費,238514,231680,6834
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,庁費,1876494,1792586,83908
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,招宴費,66845,68645,-1800
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,各所修繕,1342653,1307297,35356
皇室費,皇室費,002,95,199,2,13,3,09,宮廷費,自動車重量税,1122,1338,-216
皇室費,皇室費,002,95,011,2,20,4,15,宮廷費,施設整備費,2068750,2438107,-369357
皇室費,皇室費,002,95,011,2,12,9,17,宮廷費,交際費,58783,58783,0
皇室費,皇室費,003,95,011,2,12,9,99,皇族費,(皇族費),214720,229970,-15250
国会,衆議院,001,95,012,2,11,1,01,衆議院,議員歳費,10291825,10210401,81424
国会,衆議院,001,95,012,2,11,1,02,衆議院,職員基本給,8554597,8584665,-30068
国会,衆議院,001,95,012,2,11,1,03,衆議院,職員諸手当,4221744,4121167,100577
国会,衆議院,001,95,012,2,11,1,04,衆議院,超過勤務手当,1445046,1434386,10660
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書手当,12366032,12205693,160339
国会,衆議院,001,95,012,2,11,1,05,衆議院,非常勤職員手当,215396,212939,2457
国会,衆議院,001,95,012,2,11,1,05,衆議院,休職者給与,34466,36385,-1919
国会,衆議院,001,95,012,2,11,1,05,衆議院,短時間勤務職員給与,137049,113024,24025
国会,衆議院,001,95,012,2,15,1,05,衆議院,公務災害補償費,24206,24591,-385
国会,衆議院,001,95,012,2,11,1,05,衆議院,退職手当,1332418,1522046,-189628
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書退職手当,301063,371828,-70765
国会,衆議院,001,95,012,2,15,1,05,衆議院,弔慰金,41408,41440,-32
国会,衆議院,001,95,089,2,11,1,05,衆議院,児童手当,71620,71850,-230
国会,衆議院,001,95,012,2,12,9,06,衆議院,諸謝金,6308,6308,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員旅費,315612,315612,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員文書通信交通滞在費,5700000,5700000,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議会雑費,29700,29700,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,職員旅費,144980,144980,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,赴任旅費,2526,2526,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,証人等旅費,11821,11821,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,庁費,982923,1002990,-20067
国会,衆議院,001,95,012,2,12,3,09,衆議院,情報処理業務庁費,1775252,1666182,109070
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員会館管理等運営庁費,3447036,3373379,73657
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員特殊乗車券等購入費,873472,873472,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,国会活動啓発費,22606,22606,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,議案類印刷費,701596,701596,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,招へい外国人滞在費,72256,72256,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,各所修繕,76746,75872,874
国会,衆議院,001,95,012,2,12,3,09,衆議院,国政調査活動費,383907,409489,-25582
国会,衆議院,001,95,012,2,12,3,09,衆議院,公共施設等維持管理運営費,3689774,4087765,-397991
国会,衆議院,001,95,199,2,13,3,09,衆議院,自動車重量税,1413,1174,239
国会,衆議院,001,95,012,2,12,3,11,衆議院,立法事務費,3705000,3705000,0
国会,衆議院,001,95,012,2,11,5,16,衆議院,国家公務員共済組合負担金,2370474,2340493,29981
国会,衆議院,001,95,012,2,11,5,16,衆議院,基礎年金等国家公務員共済組合負担金,525543,568042,-42499
国会,衆議院,001,95,012,2,11,5,16,衆議院,育児休業手当金国家公務員共済組合負担金,631,2097,-1466
国会,衆議院,001,95,029,2,13,5,16,衆議院,国有資産所在市町村交付金,549528,534047,15481
国会,衆議院,001,95,012,2,72,5,16,衆議院,列国議会同盟分担金,110746,136232,-25486
国会,衆議院,001,95,012,2,12,9,17,衆議院,交際費,58063,58063,0
国会,衆議院,001,95,012,2,95,9,18,衆議院,賠償償還及払戻金,2467,2467,0
国会,衆議院,002,95,012,1,20,2,08,衆議院施設費,施設施工旅費,696,696,0
国会,衆議院,002,95,012,1,20,3,09,衆議院施設費,施設施工庁費,28498,3500,24998
国会,衆議院,002,95,012,1,20,4,15,衆議院施設費,施設整備費,1064548,1095889,-31341
国会,衆議院,002,95,012,1,20,4,15,衆議院施設費,不動産購入費,8087663,8001811,85852
国会,衆議院,009,95,012,2,95,9,99,衆議院予備経費,(国会予備経費),7000,7000,0
国会,参議院,011,95,012,2,11,1,01,参議院,議員歳費,5252974,5211408,41566
国会,参議院,011,95,012,2,11,1,02,参議院,職員基本給,6556254,6524206,32048
国会,参議院,011,95,012,2,11,1,03,参議院,職員諸手当,3283979,3193194,90785
国会,参議院,011,95,012,2,11,1,04,参議院,超過勤務手当,1119950,1123874,-3924
国会,参議院,011,95,012,2,11,1,05,参議院,議員秘書手当,6304587,6397106,-92519
国会,参議院,011,95,012,2,11,1,05,参議院,非常勤職員手当,146259,145561,698
国会,参議院,011,95,012,2,11,1,05,参議院,休職者給与,32323,34577,-2254
国会,参議院,011,95,012,2,11,1,05,参議院,短時間勤務職員給与,82170,81642,528
国会,参議院,011,95,012,2,15,1,05,参議院,公務災害補償費,2848,2848,0
国会,参議院,011,95,012,2,11,1,05,参議院,退職手当,1007727,1116505,-108778
