所管,組織,項コード,主要経費別分類コード,目的別分類コード,財政法公債金対象非対象別分類コード,経済性質別分類コード,使途別分類コード,目別分類コード,項名,目名,平成25年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,001,95,011,2,12,9,99,内廷費,(内廷費),324000,324000,0
皇室費,皇室費,002,95,011,2,12,9,06,宮廷費,諸謝金,29109,29676,-567
皇室費,皇室費,002,95,011,2,95,9,07,宮廷費,報償費,215948,219813,-3865
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,庁費,1748241,1748243,-2
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,招宴費,59948,62912,-2964
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,各所修繕,1373254,1818583,-445329
皇室費,皇室費,002,95,199,2,13,3,09,宮廷費,自動車重量税,1137,1354,-217
皇室費,皇室費,002,95,011,2,20,4,15,宮廷費,施設整備費,2008054,1642228,365826
皇室費,皇室費,002,95,011,2,12,9,17,宮廷費,交際費,57150,57150,0
皇室費,皇室費,003,95,011,2,12,9,99,皇族費,(皇族費),260775,291275,-30500
国会,衆議院,001,95,012,2,11,1,01,衆議院,議員歳費,8824614,10129261,-1304647
国会,衆議院,001,95,012,2,11,1,02,衆議院,職員基本給,7730586,8435677,-705091
国会,衆議院,001,95,012,2,11,1,03,衆議院,職員諸手当,3556042,3896646,-340604
国会,衆議院,001,95,012,2,11,1,04,衆議院,超過勤務手当,1308403,1407696,-99293
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書手当,12101525,11991912,109613
国会,衆議院,001,95,012,2,11,1,05,衆議院,非常勤職員手当,173622,182829,-9207
国会,衆議院,001,95,012,2,11,1,05,衆議院,休職者給与,38410,42015,-3605
国会,衆議院,001,95,012,2,11,1,05,衆議院,短時間勤務職員給与,61535,65047,-3512
国会,衆議院,001,95,012,2,15,1,05,衆議院,公務災害補償費,17561,19083,-1522
国会,衆議院,001,95,012,2,11,1,05,衆議院,退職手当,2038556,1753524,285032
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書退職手当,448341,419056,29285
国会,衆議院,001,95,012,2,15,1,05,衆議院,弔慰金,41408,41408,0
国会,衆議院,001,95,089,2,11,1,05,衆議院,子どものための金銭の給付,84495,86220,-1725
国会,衆議院,001,95,012,2,12,9,06,衆議院,諸謝金,7947,8082,-135
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員旅費,276854,265927,10927
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員文書通信交通滞在費,5760000,5760000,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議会雑費,28800,28800,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,職員旅費,149096,151326,-2230
国会,衆議院,001,95,012,2,12,2,08,衆議院,赴任旅費,2456,2456,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,証人等旅費,17601,15371,2230
国会,衆議院,001,95,012,2,12,3,09,衆議院,庁費,1030262,1132478,-102216
国会,衆議院,001,95,012,2,12,3,09,衆議院,情報処理業務庁費,1630643,1612491,18152
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員会館管理等運営庁費,3394638,3313070,81568
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員特殊乗車券等購入費,868091,868091,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,国会活動啓発費,24727,24727,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,議案類印刷費,720424,720424,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,招へい外国人滞在費,87357,87357,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,各所修繕,63290,67918,-4628
国会,衆議院,001,95,012,2,12,3,09,衆議院,国政調査活動費,432769,428244,4525
国会,衆議院,001,95,012,2,12,3,09,衆議院,公共施設等維持管理運営費,4686345,4861013,-174668
国会,衆議院,001,95,199,2,13,3,09,衆議院,自動車重量税,1163,1750,-587
国会,衆議院,001,95,012,2,12,3,11,衆議院,立法事務費,3744000,3744000,0
国会,衆議院,001,95,012,2,11,5,16,衆議院,国家公務員共済組合負担金,2200233,2244942,-44709
国会,衆議院,001,95,012,2,11,5,16,衆議院,基礎年金国家公務員共済組合負担金,515539,396672,118867
国会,衆議院,001,95,029,2,13,5,16,衆議院,国有資産所在市町村交付金,534697,562224,-27527
国会,衆議院,001,95,012,2,72,5,16,衆議院,列国議会同盟分担金,112746,115308,-2562
国会,衆議院,001,95,012,2,12,9,17,衆議院,交際費,58063,58063,0
国会,衆議院,001,95,012,2,95,9,18,衆議院,賠償償還及払戻金,2467,2467,0
国会,衆議院,002,95,012,1,20,2,08,衆議院施設費,施設施工旅費,1132,1132,0
国会,衆議院,002,95,012,1,20,3,09,衆議院施設費,施設施工庁費,33734,26786,6948
国会,衆議院,002,95,012,1,20,4,15,衆議院施設費,施設整備費,1204128,1181130,22998
国会,衆議院,002,95,012,1,20,4,15,衆議院施設費,不動産購入費,7953542,7909370,44172
国会,衆議院,009,95,012,2,95,9,99,衆議院予備経費,(国会予備経費),7000,7000,0
国会,参議院,011,95,012,2,11,1,01,参議院,議員歳費,4457277,5116248,-658971
