主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,平成25年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
総務省,5,2,03,74,雑収入,納付金,雑納付金,独立行政法人統計センター納付金,1618106,0,1618106
総務省,5,2,03,72,雑収入,納付金,雑納付金,独立行政法人郵便貯金・簡易生命保険管理機構納付金,0,29521909,-29521909
総務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1284169,1147259,136910
総務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,4371,4118,253
総務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,2043323,1108583,934740
総務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,13448,11587,1861
総務省,5,3,15,01,雑収入,諸収入,電波利用料収入,電波利用料収入,74130449,71584374,2546075
総務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,5653,15414,-9761
総務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,4216,5182,-966
総務省,5,3,99,60,雑収入,諸収入,雑入,独立行政法人平和祈念事業特別基金資産承継収入,117628,0,117628
総務省,5,3,99,99,雑収入,諸収入,雑入,雑収,912262,177148,735114
総務省,5,3,98,01,雑収入,諸収入,東日本大震災復興雑入,独立行政法人平和祈念事業特別基金資産承継収入,9372,0,9372
法務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,218384,200247,18137
法務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,152616,144432,8184
法務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,350478,381221,-30743
法務省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,309,227,82
法務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,36104540,41255426,-5150886
法務省,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,917541,955324,-37783
法務省,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,1544393,1292181,252212
法務省,5,3,08,01,雑収入,諸収入,懲罰及没収金,罰金及科料,54464236,57904722,-3440486
法務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,711794,661810,49984
法務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,388705,472919,-84214
法務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,247000,168593,78407
法務省,5,3,10,01,雑収入,諸収入,矯正官署作業収入,刑務所作業収入,4612593,4893751,-281158
法務省,5,3,10,02,雑収入,諸収入,矯正官署作業収入,少年院職業補導収入,11825,10063,1762
法務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,36624,41110,-4486
法務省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,11650,39680,-28030
法務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,4077,2147,1930
法務省,5,3,99,05,雑収入,諸収入,雑入,期満後収入,169553,774084,-604531
法務省,5,3,99,99,雑収入,諸収入,雑入,雑収,234910,247008,-12098
外務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,7247,5743,1504
外務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,58128,71031,-12903
外務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,429978,488630,-58652
外務省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,55,55,0
外務省,5,1,04,01,雑収入,国有財産利用収入,利子収入,預託金利子収入,10429,19613,-9184
外務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,4992800,5286545,-293745
外務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,3334,1400,1934
外務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,6048067,4989562,1058505
外務省,5,3,11,02,雑収入,諸収入,物品売払収入,刊行物売払代,1132,1786,-654
外務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,35189,43193,-8004
外務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,1761,2567,-806
外務省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,188,195,-7
外務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,109,81,28
外務省,5,3,99,99,雑収入,諸収入,雑入,雑収,81144,64139,17005
外務省,5,2,03,37,雑収入,納付金,雑納付金,独立行政法人国際協力機構納付金,0,2825252,-2825252
財務省,1,1,01,01,租税及印紙収入,租税,所得税,源泉所得税,11462000000,11094000000,368000000
財務省,1,1,01,02,租税及印紙収入,租税,所得税,申告所得税,2436000000,2397000000,39000000
財務省,1,1,02,01,租税及印紙収入,租税,法人税,法人税,8714000000,8808000000,-94000000
財務省,1,1,03,01,租税及印紙収入,租税,相続税,相続税,1495000000,1430000000,65000000
財務省,1,1,20,01,租税及印紙収入,租税,消費税,消費税,10649000000,10423000000,226000000
財務省,1,1,04,01,租税及印紙収入,租税,酒税,酒税,1347000000,1339000000,8000000
財務省,1,1,18,01,租税及印紙収入,租税,たばこ税,たばこ税,991000000,945000000,46000000
財務省,1,1,06,01,租税及印紙収入,租税,揮発油税,揮発油税,2566000000,2611000000,-45000000
財務省,1,1,07,01,租税及印紙収入,租税,石油ガス税,石油ガス税,11000000,11000000,0
財務省,1,1,17,01,租税及印紙収入,租税,航空機燃料税,航空機燃料税,50000000,44000000,6000000
財務省,1,1,54,02,租税及印紙収入,租税,石油石炭税,石油石炭税,650000000,546000000,104000000
財務省,1,1,23,01,租税及印紙収入,租税,電源開発促進税,電源開発促進税,330000000,329000000,1000000
財務省,1,1,16,01,租税及印紙収入,租税,自動車重量税,自動車重量税,386000000,417000000,-31000000
財務省,1,1,14,01,租税及印紙収入,租税,関税,関税,897000000,910000000,-13000000
財務省,1,1,15,01,租税及印紙収入,租税,とん税,とん税,10000000,10000000,0
財務省,1,2,01,01,租税及印紙収入,印紙収入,印紙収入,収入印紙,805000000,737000000,68000000
財務省,1,2,01,02,租税及印紙収入,印紙収入,印紙収入,現金収入,297000000,295000000,2000000
財務省,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,61070000,85500000,-24430000
財務省,4,1,01,02,政府資産整理収入,国有財産処分収入,国有財産売払収入,立木竹売払代,26000,32000,-6000
財務省,4,1,01,03,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,132000,305000,-173000
財務省,4,1,01,05,政府資産整理収入,国有財産処分収入,国有財産売払収入,船舶売払代,5460,4025,1435
財務省,4,1,01,04,政府資産整理収入,国有財産処分収入,国有財産売払収入,工作物売払代,1173,1170,3
財務省,4,1,01,09,政府資産整理収入,国有財産処分収入,国有財産売払収入,証券売払代,8096000,11912000,-3816000
財務省,4,1,03,01,政府資産整理収入,国有財産処分収入,東日本大震災復興国有財産売払収入,土地売払代,23430000,1500000,21930000
財務省,4,1,02,01,政府資産整理収入,国有財産処分収入,特定国有財産売払収入,特定施設売払代,0,16420,-16420
財務省,4,2,01,06,政府資産整理収入,回収金等収入,特別会計整理収入,産業投資特別会計整理収入,18088337,22633404,-4545067
財務省,4,2,03,20,政府資産整理収入,回収金等収入,貸付金等回収金収入,清酒製造業近代化事業基金貸付金償還金,6500000,0,6500000
財務省,4,2,50,41,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人平和祈念事業特別基金出資回収金,100000,0,100000
財務省,4,2,50,20,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人国際協力機構出資回収金,303469,1391310,-1087841
財務省,4,2,50,27,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人国立印刷局出資回収金,1428559,94552,1334007
財務省,4,2,50,53,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人農林漁業信用基金出資回収金,12383000,0,12383000
財務省,4,2,50,19,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人中小企業基盤整備機構出資回収金,14507,21521,-7014
財務省,4,2,50,46,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人鉄道建設・運輸施設整備支援機構出資回収金,396244,0,396244
財務省,4,2,50,63,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人海上災害防止センター出資回収金,327000,0,327000
財務省,4,2,50,57,政府資産整理収入,回収金等収入,政府出資回収金収入,米州開発銀行出資回収金,0,11599440,-11599440
財務省,4,2,50,58,政府資産整理収入,回収金等収入,政府出資回収金収入,預金保険機構出資回収金,0,5000000,-5000000
財務省,4,2,50,18,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人日本貿易振興機構出資回収金,0,700000,-700000
財務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,18900125,19177837,-277712
財務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,1205348,1268305,-62957
財務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,15796094,16166850,-370756
財務省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,882,43,839
財務省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,131348,141128,-9780
財務省,5,1,04,02,雑収入,国有財産利用収入,利子収入,指定預金利子収入,434000,454000,-20000
財務省,5,1,04,01,雑収入,国有財産利用収入,利子収入,預託金利子収入,0,1,-1
財務省,5,1,03,01,雑収入,国有財産利用収入,配当金収入,日本銀行配当金収入,2750,2750,0
財務省,5,1,03,03,雑収入,国有財産利用収入,配当金収入,成田国際空港株式会社配当金収入,359536,79897,279639
財務省,5,1,03,05,雑収入,国有財産利用収入,配当金収入,日本郵政株式会社配当金収入,13410000,11060496,2349504
財務省,5,2,01,01,雑収入,納付金,日本銀行納付金,日本銀行納付金,406400000,275200000,131200000
財務省,5,2,07,01,雑収入,納付金,東日本大震災復興日本銀行納付金,日本銀行納付金,2700000,0,2700000
財務省,5,2,06,01,雑収入,納付金,独立行政法人造幣局納付金,独立行政法人造幣局納付金,4229026,3117232,1111794
財務省,5,2,03,09,雑収入,納付金,雑納付金,預金保険機構納付金,17200433,16526002,674431
財務省,5,2,03,87,雑収入,納付金,雑納付金,独立行政法人造幣局納付金,1288974,0,1288974
財務省,5,2,03,88,雑収入,納付金,雑納付金,独立行政法人国立印刷局納付金,10281590,0,10281590
財務省,5,2,03,90,雑収入,納付金,雑納付金,独立行政法人日本万国博覧会記念機構納付金,119496,0,119496
財務省,5,2,03,07,雑収入,納付金,雑納付金,株式会社国際協力銀行納付金,0,85250,-85250
財務省,5,2,12,05,雑収入,納付金,東日本大震災復興雑納付金,株式会社国際協力銀行納付金,177475,0,177475
財務省,5,2,12,02,雑収入,納付金,東日本大震災復興雑納付金,独立行政法人造幣局納付金,53816,0,53816
財務省,5,2,12,03,雑収入,納付金,東日本大震災復興雑納付金,独立行政法人国立印刷局納付金,291245,0,291245
財務省,5,3,03,09,雑収入,諸収入,特別会計受入金,外国為替資金特別会計受入金,1928567808,1972501927,-43934119
財務省,5,3,03,24,雑収入,諸収入,特別会計受入金,食料安定供給特別会計受入金,2870,2870,0
財務省,5,3,03,25,雑収入,諸収入,特別会計受入金,社会資本整備事業特別会計受入金,74857457,80912839,-6055382
財務省,5,3,03,26,雑収入,諸収入,特別会計受入金,財政投融資特別会計受入金,0,43869447,-43869447
財務省,5,3,26,01,雑収入,諸収入,東日本大震災復興外国為替資金特別会計受入金,外国為替資金特別会計受入金,25861,0,25861
財務省,5,3,27,01,雑収入,諸収入,東日本大震災復興財政投融資特別会計受入金,財政投融資特別会計受入金,4481,0,4481
財務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,953349,958593,-5244
財務省,5,3,06,02,雑収入,諸収入,許可及手数料,許可料,1497546,1582236,-84690
財務省,5,3,07,07,雑収入,諸収入,受託調査試験及役務収入,地方消費税徴収取扱費受入,10227170,10145704,81466
財務省,5,3,08,04,雑収入,諸収入,懲罰及没収金,国税犯則者納金,151603,259021,-107418
財務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,899204,1011634,-112430
財務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,1456728,1239884,216844
財務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,34273,41189,-6916
財務省,5,3,02,01,雑収入,諸収入,文官恩給費特別会計等負担金,文官恩給費特別会計等負担金,1663178,2043594,-380416
財務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,83573,83592,-19
財務省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,1108,416,692
財務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,79677,96849,-17172
財務省,5,3,99,17,雑収入,諸収入,雑入,経過利子受入,54020606,37701132,16319474
財務省,5,3,99,99,雑収入,諸収入,雑入,雑収,981295,1002338,-21043
財務省,6,1,01,01,公債金,公債金,公債金,公債金,5775000000,5909000000,-134000000
財務省,6,1,02,01,公債金,公債金,特例公債金,特例公債金,37076000000,38335000000,-1259000000
財務省,6,1,05,01,公債金,公債金,年金特例公債金,年金特例公債金,2611042408,0,2611042408
財務省,7,1,01,01,前年度剰余金受入,前年度剰余金受入,前年度剰余金受入,前年度剰余金受入,246589,0,246589
財務省,7,1,02,01,前年度剰余金受入,前年度剰余金受入,東日本大震災復興前年度剰余金受入,前年度剰余金受入,220000000,0,220000000
文部科学省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,515103,515805,-702
文部科学省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,10218,8192,2026
文部科学省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,38147,41910,-3763
文部科学省,5,1,01,04,雑収入,国有財産利用収入,国有財産貸付収入,機械貸付料,112,111,1
文部科学省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,19140,19875,-735
文部科学省,5,2,04,01,雑収入,納付金,独立行政法人日本スポーツ振興センター納付金,独立行政法人日本スポーツ振興センター納付金,7867333,7108800,758533
文部科学省,5,2,03,91,雑収入,納付金,雑納付金,独立行政法人日本学術振興会納付金,1322616,0,1322616
文部科学省,5,2,03,93,雑収入,納付金,雑納付金,独立行政法人理化学研究所納付金,567170,0,567170
文部科学省,5,2,03,94,雑収入,納付金,雑納付金,独立行政法人日本スポーツ振興センター納付金,278197,0,278197
文部科学省,5,2,03,95,雑収入,納付金,雑納付金,独立行政法人日本芸術文化振興会納付金,389162,0,389162
文部科学省,5,2,03,68,雑収入,納付金,雑納付金,独立行政法人科学技術振興機構納付金,0,1762302,-1762302
文部科学省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,22208,25566,-3358
文部科学省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,4416,5416,-1000
文部科学省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,9051181,8844575,206606
文部科学省,5,3,11,02,雑収入,諸収入,物品売払収入,刊行物売払代,1394,1449,-55
文部科学省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,10760,22024,-11264
文部科学省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,2377,8091,-5714
文部科学省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,2,4,-2
文部科学省,5,3,99,04,雑収入,諸収入,雑入,延滞金,10064,5474,4590
文部科学省,5,3,99,14,雑収入,諸収入,雑入,原子力損害賠償補償料収入,4981496,4976827,4669
文部科学省,5,3,99,99,雑収入,諸収入,雑入,雑収,2709360,2703608,5752
厚生労働省,3,2,01,04,官業益金及官業収入,官業収入,病院収入,国立障害者リハビリテーションセンター病院収入,1082554,1205413,-122859
厚生労働省,3,2,01,05,官業益金及官業収入,官業収入,病院収入,国立ハンセン病療養所病院収入,235608,75394,160214
厚生労働省,3,2,02,01,官業益金及官業収入,官業収入,診療所収入,国立知的障害児施設等診療所収入,6133,8304,-2171
厚生労働省,4,2,03,08,政府資産整理収入,回収金等収入,貸付金等回収金収入,消費生活協同組合資金貸付金償還金,1000,1500,-500
厚生労働省,4,2,03,13,政府資産整理収入,回収金等収入,貸付金等回収金収入,災害援護資金貸付金償還金,805231,732799,72432
厚生労働省,4,2,03,19,政府資産整理収入,回収金等収入,貸付金等回収金収入,母子寡婦福祉資金貸付金償還金,985534,1202565,-217031
厚生労働省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,327918,332905,-4987
厚生労働省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,36268,34161,2107
厚生労働省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,79883,96881,-16998
厚生労働省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,366,430,-64
厚生労働省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,120,120,0
厚生労働省,5,1,04,04,雑収入,国有財産利用収入,利子収入,消費生活協同組合資金貸付金利子収入,60,105,-45
厚生労働省,5,2,03,97,雑収入,納付金,雑納付金,独立行政法人高齢・障害・求職者雇用支援機構納付金,6952,0,6952
厚生労働省,5,2,03,69,雑収入,納付金,雑納付金,独立行政法人労働政策研究・研修機構納付金,0,893,-893
厚生労働省,5,3,03,28,雑収入,諸収入,特別会計受入金,年金特別会計受入金,35611,22097005,-22061394
厚生労働省,5,3,05,01,雑収入,諸収入,授業料及入学検定料,授業料,125250,118500,6750
厚生労働省,5,3,05,02,雑収入,諸収入,授業料及入学検定料,入学及検定料,23710,23710,0
厚生労働省,5,3,05,03,雑収入,諸収入,授業料及入学検定料,講習料,40291,41997,-1706
厚生労働省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,52939,53169,-230
厚生労働省,5,3,07,01,雑収入,諸収入,受託調査試験及役務収入,受託調査及試験収入,119122,133990,-14868
厚生労働省,5,3,07,02,雑収入,諸収入,受託調査試験及役務収入,受託造修収入,62662,62662,0
厚生労働省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,18885,40222,-21337
厚生労働省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,238900460,263307260,-24406800
厚生労働省,5,3,11,01,雑収入,諸収入,物品売払収入,試験場製品等売払代,87734,80687,7047
厚生労働省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,1958,4366,-2408
厚生労働省,5,3,11,03,雑収入,諸収入,物品売払収入,特殊薬品売払代,11588,11955,-367
厚生労働省,5,3,11,07,雑収入,諸収入,物品売払収入,あへん売払代,3038715,3072330,-33615
厚生労働省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,45246,69352,-24106
厚生労働省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,48,20,28
厚生労働省,5,3,99,04,雑収入,諸収入,雑入,延滞金,10613,10588,25
厚生労働省,5,3,99,02,雑収入,諸収入,雑入,失業者退職手当特別会計等負担金,287199,348668,-61469
厚生労働省,5,3,99,09,雑収入,諸収入,雑入,労働保険審査会費特別会計負担金,275848,297485,-21637
厚生労働省,5,3,99,99,雑収入,諸収入,雑入,雑収,1491619,1485837,5782
農林水産省,3,2,03,01,官業益金及官業収入,官業収入,国有林野事業収入,国有林野事業収入,27405413,0,27405413
農林水産省,4,1,01,02,政府資産整理収入,国有財産処分収入,国有財産売払収入,立木竹売払代,232840,0,232840
農林水産省,4,2,01,11,政府資産整理収入,回収金等収入,特別会計整理収入,国有林野事業特別会計整理収入,45060024,0,45060024
農林水産省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,30329,28563,1766
農林水産省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,38383,41265,-2882
