主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,平成25年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
国会,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,1008610,921915,86695
国会,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,502317,494865,7452
国会,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,35716,35867,-151
国会,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,2848,2869,-21
国会,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,36,36,0
国会,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,1465,1402,63
国会,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,15057,12675,2382
国会,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,6217,31915,-25698
国会,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,1946,1890,56
国会,5,3,99,99,雑収入,諸収入,雑入,雑収,7078,23504,-16426
国会,5,3,99,04,雑収入,諸収入,雑入,延滞金,0,1,-1
裁判所,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,75861,68099,7762
裁判所,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,72285,70639,1646
裁判所,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,696202,714653,-18451
裁判所,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,6759,6976,-217
裁判所,5,2,09,01,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,59650,59790,-140
裁判所,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1881333,1756158,125175
裁判所,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,6,16,-10
裁判所,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,154767,146951,7816
裁判所,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,58452,61107,-2655
裁判所,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,54562,54645,-83
裁判所,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,99254,84073,15181
裁判所,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,10997,14603,-3606
裁判所,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,166,100,66
裁判所,5,3,99,04,雑収入,諸収入,雑入,延滞金,2996,3362,-366
裁判所,5,3,99,05,雑収入,諸収入,雑入,期満後収入,4911,7177,-2266
裁判所,5,3,99,99,雑収入,諸収入,雑入,雑収,25846802,22149314,3697488
会計検査院,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,59,59,0
会計検査院,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,38,38,0
会計検査院,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,18432,19003,-571
会計検査院,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,44,59,-15
会計検査院,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,311,451,-140
会計検査院,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,1237,1219,18
会計検査院,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,115,724,-609
会計検査院,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,854,1148,-294
会計検査院,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,10,10,0
会計検査院,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,21,-20
会計検査院,5,3,99,99,雑収入,諸収入,雑入,雑収,681,589,92
内閣,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,19261,17882,1379
内閣,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,2198,2375,-177
内閣,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,5558,7782,-2224
内閣,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,938,1378,-440
内閣,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,3,218,-215
内閣,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,252,78,174
内閣,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,1191557,923041,268516
内閣,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,1402,1392,10
内閣,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,1709,4986,-3277
内閣,5,3,99,04,雑収入,諸収入,雑入,延滞金,361,361,0
内閣,5,3,99,99,雑収入,諸収入,雑入,雑収,289,17807,-17518
内閣府,3,2,01,01,官業益金及官業収入,官業収入,病院収入,宮内庁病院収入,41483,43765,-2282
内閣府,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,174561,192560,-17999
内閣府,4,1,01,03,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,5612,5879,-267
内閣府,4,1,01,05,政府資産整理収入,国有財産処分収入,国有財産売払収入,船舶売払代,2981,1791,1190
内閣府,4,1,01,50,政府資産整理収入,国有財産処分収入,国有財産売払収入,航空機売払代,226456,207615,18841
内閣府,4,2,03,32,政府資産整理収入,回収金等収入,貸付金等回収金収入,総合研究開発機構無利子貸付金償還金,3110000,3110000,0
内閣府,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,215384,222406,-7022
内閣府,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,66874,65690,1184
内閣府,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,524484,553464,-28980
内閣府,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,1825,1874,-49
内閣府,5,1,02,05,雑収入,国有財産利用収入,国有財産使用収入,公益認定等総合情報システム利用料収入,19035,25514,-6479
内閣府,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,153,170,-17
内閣府,5,2,03,04,雑収入,納付金,雑納付金,公認会計士法違反者納付金,18180,16270,1910
内閣府,5,2,03,05,雑収入,納付金,雑納付金,価格協定等違反者納付金,26765072,19358358,7406714
内閣府,5,2,03,06,雑収入,納付金,雑納付金,金融商品取引法違反者納付金,743200,1281760,-538560
内閣府,5,2,03,80,雑収入,納付金,雑納付金,独立行政法人北方領土問題対策協会納付金,793,0,793
内閣府,5,2,03,79,雑収入,納付金,雑納付金,独立行政法人国民生活センター納付金,6753,0,6753
内閣府,5,3,03,27,雑収入,諸収入,特別会計受入金,自動車安全特別会計受入金,123845,134604,-10759
内閣府,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,55,18,37
内閣府,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,121603,96255,25348
内閣府,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,205260,238827,-33567
内閣府,5,3,11,01,雑収入,諸収入,物品売払収入,試験場製品等売払代,4393,5315,-922
内閣府,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,215636,197897,17739
内閣府,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,9236,18862,-9626
内閣府,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,2,2,0
内閣府,5,3,99,04,雑収入,諸収入,雑入,延滞金,5870,6315,-445
内閣府,5,3,99,99,雑収入,諸収入,雑入,雑収,55643,55261,382
総務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,45634,42523,3111
総務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,54092,68987,-14895
総務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,35033,37858,-2825
総務省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,8,3,5
