主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,令和7年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
国会,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,1325420,1263552,61868
国会,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,731201,729693,1508
国会,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,38380,38014,366
国会,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,267,332,-65
国会,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,866,322,544
国会,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,55140,52831,2309
国会,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,13143,12144,999
国会,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,4787,5129,-342
国会,5,3,99,04,雑収入,諸収入,雑入,延滞金,24,2,22
国会,5,3,99,99,雑収入,諸収入,雑入,雑収,8721,7887,834
裁判所,4,2,03,36,政府資産整理収入,回収金等収入,貸付金等回収金収入,修習資金貸与金償還金,2688802,2610504,78298
裁判所,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,96577,95016,1561
裁判所,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,159975,165941,-5966
裁判所,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,389339,393487,-4148
裁判所,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,3139,3314,-175
裁判所,5,2,09,01,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,49480,48980,500
裁判所,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1880983,1806623,74360
裁判所,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,93,20,73
裁判所,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,177055,229438,-52383
裁判所,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,69422,62628,6794
裁判所,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,79197,63138,16059
裁判所,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,52782,49029,3753
裁判所,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,37992,44952,-6960
裁判所,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,12,9,3
裁判所,5,3,99,04,雑収入,諸収入,雑入,延滞金,6719,6775,-56
裁判所,5,3,99,05,雑収入,諸収入,雑入,期満後収入,1215,2008,-793
