所管,組織,項コード,主要経費別分類コード,目的別分類コード,財政法公債金対象非対象別分類コード,経済性質別分類コード,使途別分類コード,目別分類コード,項名,目名,令和7年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,001,95,011,2,12,9,99,内廷費,(内廷費),324000,324000,0
皇室費,皇室費,002,95,011,2,12,9,06,宮廷費,諸謝金,30222,30113,109
皇室費,皇室費,002,95,011,2,95,9,07,宮廷費,報償費,268448,298145,-29697
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,宮廷庁費,2435704,2205636,230068
皇室費,皇室費,002,95,011,2,20,3,09,宮廷費,施設施工庁費,106095,75307,30788
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,各所修繕,1449608,1436995,12613
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,招宴費,88413,96649,-8236
皇室費,皇室費,002,95,199,2,13,3,09,宮廷費,自動車重量税,1560,1672,-112
皇室費,皇室費,002,95,011,2,20,4,15,宮廷費,施設整備費,6388090,5619210,768880
皇室費,皇室費,002,95,011,2,12,9,17,宮廷費,交際費,44088,44088,0
皇室費,皇室費,003,95,011,2,12,9,99,皇族費,(皇族費),235765,263724,-27959
国会,衆議院,001,95,012,2,11,1,01,衆議院,議員歳費,10206691,10206691,0
国会,衆議院,001,95,012,2,11,1,02,衆議院,職員基本給,8864533,8972509,-107976
国会,衆議院,001,95,012,2,11,1,03,衆議院,職員諸手当,4687077,4720355,-33278
国会,衆議院,001,95,012,2,11,1,04,衆議院,超過勤務手当,1372459,1374779,-2320
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書手当,12827492,12522203,305289
国会,衆議院,001,95,012,2,11,1,05,衆議院,非常勤職員手当,327167,311875,15292
国会,衆議院,001,95,012,2,11,1,05,衆議院,休職者給与,54479,67767,-13288
国会,衆議院,001,95,012,2,11,1,05,衆議院,短時間勤務職員給与,189859,148956,40903
国会,衆議院,001,95,012,2,15,1,05,衆議院,公務災害補償費,12869,12871,-2
国会,衆議院,001,95,012,2,11,1,05,衆議院,退職手当,791646,1484014,-692368
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書退職手当,392638,426782,-34144
国会,衆議院,001,95,012,2,15,1,05,衆議院,弔慰金,41408,41408,0
国会,衆議院,001,95,089,2,11,1,05,衆議院,児童手当,118990,84035,34955
国会,衆議院,001,95,012,2,12,9,06,衆議院,諸謝金,6327,6327,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員旅費,316429,316429,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員調査研究広報滞在費,5580000,5580000,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議会雑費,4500,4500,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,職員旅費,147070,147070,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,赴任旅費,2437,2437,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,委員等旅費,2517,2517,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,証人等旅費,9494,9494,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,庁費,1001790,1001790,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,情報処理業務庁費,2139020,2252458,-113438
国会,衆議院,001,95,012,2,12,3,09,衆議院,国会運営事務処理等庁費,3885108,3771842,113266
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員特殊乗車券等購入費,999307,972714,26593
国会,衆議院,001,95,012,2,12,3,09,衆議院,国会活動啓発費,23026,23026,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,議案類印刷費,271899,344164,-72265
国会,衆議院,001,95,012,2,12,3,09,衆議院,招へい外国人滞在費,73594,73594,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,各所修繕,76640,76640,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,国政調査活動費,382488,358027,24461
国会,衆議院,001,95,012,2,12,3,09,衆議院,公共施設等維持管理運営費,3862415,3747604,114811
国会,衆議院,001,95,199,2,13,3,09,衆議院,自動車重量税,1867,1822,45
国会,衆議院,001,95,012,2,12,3,11,衆議院,立法事務費,3627000,3627000,0
国会,衆議院,001,95,012,2,11,5,16,衆議院,国家公務員共済組合負担金,2206739,2164866,41873
国会,衆議院,001,95,012,2,11,5,16,衆議院,基礎年金等国家公務員共済組合負担金,596840,589007,7833
国会,衆議院,001,95,012,2,11,5,16,衆議院,育児休業手当金等国家公務員共済組合負担金,11231,4523,6708
国会,衆議院,001,95,029,2,13,5,16,衆議院,国有資産所在市町村交付金,589462,574605,14857
国会,衆議院,001,95,012,2,72,5,16,衆議院,列国議会同盟分担金,172813,150308,22505
国会,衆議院,001,95,012,2,12,9,17,衆議院,交際費,59138,59138,0
国会,衆議院,001,95,012,2,95,9,18,衆議院,賠償償還及払戻金,2467,2467,0
国会,衆議院,002,95,012,1,20,2,08,衆議院施設費,施設施工旅費,694,694,0
国会,衆議院,002,95,012,1,20,3,09,衆議院施設費,施設施工庁費,83865,130260,-46395
国会,衆議院,002,95,012,1,20,4,15,衆議院施設費,施設整備費,1440151,1847343,-407192
国会,衆議院,002,95,012,1,20,4,15,衆議院施設費,不動産購入費,642643,630704,11939
国会,衆議院,009,95,012,2,95,9,99,衆議院予備経費,(国会予備経費),7000,7000,0
国会,参議院,011,95,012,2,11,1,01,参議院,議員歳費,5452781,5412637,40144
国会,参議院,011,95,012,2,11,1,02,参議院,職員基本給,6578522,6641310,-62788
国会,参議院,011,95,012,2,11,1,03,参議院,職員諸手当,3485788,3517327,-31539
国会,参議院,011,95,012,2,11,1,04,参議院,超過勤務手当,1013766,987601,26165
国会,参議院,011,95,012,2,11,1,05,参議院,議員秘書手当,6979175,6624796,354379
国会,参議院,011,95,012,2,11,1,05,参議院,非常勤職員手当,244854,222533,22321
国会,参議院,011,95,012,2,11,1,05,参議院,休職者給与,51420,51862,-442
国会,参議院,011,95,012,2,11,1,05,参議院,短時間勤務職員給与,78477,53754,24723
国会,参議院,011,95,012,2,15,1,05,参議院,公務災害補償費,7953,7953,0
国会,参議院,011,95,012,2,11,1,05,参議院,退職手当,880331,1178046,-297715
国会,参議院,011,95,012,2,11,1,05,参議院,議員秘書退職手当,869487,180884,688603
国会,参議院,011,95,012,2,15,1,05,参議院,弔慰金,41408,41408,0
国会,参議院,011,95,089,2,11,1,05,参議院,児童手当,81000,57825,23175
国会,参議院,011,95,012,2,12,9,06,参議院,諸謝金,4517,4517,0
国会,参議院,011,95,012,2,12,2,08,参議院,議員旅費,162619,162619,0
国会,参議院,011,95,012,2,12,2,08,参議院,議員調査研究広報滞在費,2976000,2976000,0
国会,参議院,011,95,012,2,12,2,08,参議院,議会雑費,4500,4500,0
国会,参議院,011,95,012,2,12,2,08,参議院,職員旅費,87744,87744,0
国会,参議院,011,95,012,2,12,2,08,参議院,赴任旅費,2133,2133,0
