所管,組織,項コード,主要経費別分類コード,目的別分類コード,財政法公債金対象非対象別分類コード,経済性質別分類コード,使途別分類コード,目別分類コード,項名,目名,平成24年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,001,95,011,2,12,9,99,内廷費,(内廷費),324000,324000,0
皇室費,皇室費,002,95,011,2,12,9,06,宮廷費,諸謝金,29676,29887,-211
皇室費,皇室費,002,95,011,2,95,9,07,宮廷費,報償費,219813,220328,-515
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,庁費,1748243,1781303,-33060
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,招宴費,62912,62679,233
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,各所修繕,1818583,1891866,-73283
皇室費,皇室費,002,95,199,2,13,3,09,宮廷費,自動車重量税,1354,1450,-96
皇室費,皇室費,002,95,011,2,20,4,15,宮廷費,施設整備費,1642228,1639121,3107
皇室費,皇室費,002,95,011,2,12,9,17,宮廷費,交際費,57150,57150,0
皇室費,皇室費,003,95,011,2,12,9,99,皇族費,(皇族費),291275,288225,3050
国会,衆議院,001,95,012,2,11,1,01,衆議院,議員歳費,10129261,8689261,1440000
国会,衆議院,001,95,012,2,11,1,02,衆議院,職員基本給,8435677,8454055,-18378
国会,衆議院,001,95,012,2,11,1,02,衆議院,東日本大震災復旧・復興職員基本給,0,65728,-65728
国会,衆議院,001,95,012,2,11,1,03,衆議院,職員諸手当,3896646,3925222,-28576
国会,衆議院,001,95,012,2,11,1,03,衆議院,東日本大震災復旧・復興職員諸手当,0,16546,-16546
国会,衆議院,001,95,012,2,11,1,04,衆議院,超過勤務手当,1407696,1407933,-237
国会,衆議院,001,95,012,2,11,1,04,衆議院,東日本大震災復旧・復興超過勤務手当,0,13862,-13862
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書手当,11991912,11832166,159746
国会,衆議院,001,95,012,2,11,1,05,衆議院,非常勤職員手当,182829,177907,4922
国会,衆議院,001,95,012,2,11,1,05,衆議院,休職者給与,42015,41836,179
国会,衆議院,001,95,012,2,11,1,05,衆議院,短時間勤務職員給与,65047,70315,-5268
国会,衆議院,001,95,012,2,15,1,05,衆議院,公務災害補償費,19083,15325,3758
