主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,令和2年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
国会,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,1239254,1157829,81425
国会,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,803726,726831,76895
国会,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,38964,43894,-4930
国会,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,1173,1177,-4
国会,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,5,14,-9
国会,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,21845,19212,2633
国会,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,9248,6944,2304
国会,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,1879,1702,177
国会,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,1,0
国会,5,3,99,99,雑収入,諸収入,雑入,雑収,227953,1520,226433
裁判所,4,2,03,36,政府資産整理収入,回収金等収入,貸付金等回収金収入,修習資金貸与金償還金,1484118,1039134,444984
裁判所,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,91959,87888,4071
裁判所,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,191507,162305,29202
裁判所,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,514495,535551,-21056
裁判所,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,4083,4473,-390
裁判所,5,2,09,01,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,49090,49140,-50
裁判所,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1599781,1528761,71020
裁判所,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,140,123,17
裁判所,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,185265,144969,40296
裁判所,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,60726,61457,-731
裁判所,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,55221,55197,24
裁判所,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,44544,47845,-3301
裁判所,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,11893,9742,2151
裁判所,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,14,26,-12
裁判所,5,3,99,04,雑収入,諸収入,雑入,延滞金,5087,4015,1072
裁判所,5,3,99,05,雑収入,諸収入,雑入,期満後収入,1807,2450,-643
裁判所,5,3,99,99,雑収入,諸収入,雑入,雑収,56887818,46230982,10656836
会計検査院,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,17,17,0
会計検査院,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,32,13,19
会計検査院,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,1248,1195,53
会計検査院,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,20,53,-33
会計検査院,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,802,970,-168
会計検査院,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,2203,2348,-145
会計検査院,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,1128,831,297
会計検査院,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,1,0
会計検査院,5,3,99,99,雑収入,諸収入,雑入,雑収,564,579,-15
内閣,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,26605,24955,1650
内閣,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,1256,1262,-6
内閣,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,3511,3693,-182
内閣,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,782,915,-133
内閣,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,190,188,2
内閣,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,694899,1022002,-327103
内閣,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,1162,720,442
内閣,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,1485,1534,-49
内閣,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,313,-312
内閣府,3,2,01,01,官業益金及官業収入,官業収入,病院収入,宮内庁病院収入,24391,31244,-6853
内閣府,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,205553,392116,-186563
内閣府,4,1,01,03,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,309,0,309
内閣府,4,1,01,05,政府資産整理収入,国有財産処分収入,国有財産売払収入,船舶売払代,7114,0,7114
内閣府,4,1,01,50,政府資産整理収入,国有財産処分収入,国有財産売払収入,航空機売払代,36575,107800,-71225
内閣府,4,2,03,13,政府資産整理収入,回収金等収入,貸付金等回収金収入,災害援護資金貸付金償還金,2411324,2186241,225083
内閣府,4,2,54,01,政府資産整理収入,回収金等収入,東日本大震災復興放射性物質汚染対策緊急除染等事業費回収金収入,放射性物質汚染対策緊急除染等事業費回収金,11895272,12438403,-543131
内閣府,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,235824,224485,11339
内閣府,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,348302,260270,88032
内閣府,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,588320,576628,11692
内閣府,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,3179,3087,92
内閣府,5,1,02,03,雑収入,国有財産利用収入,国有財産使用収入,入場料等収入,936554,816907,119647
内閣府,5,1,02,05,雑収入,国有財産利用収入,国有財産使用収入,公益認定等総合情報システム利用料収入,28194,26160,2034
内閣府,5,2,03,04,雑収入,納付金,雑納付金,公認会計士法違反者納付金,14330,14080,250
内閣府,5,2,03,05,雑収入,納付金,雑納付金,価格協定等違反者納付金,3765407,6515290,-2749883
内閣府,5,2,03,06,雑収入,納付金,雑納付金,金融商品取引法違反者納付金,686760,527690,159070
