所管,組織,項コード,主要経費別分類コード,目的別分類コード,財政法公債金対象非対象別分類コード,経済性質別分類コード,使途別分類コード,目別分類コード,項名,目名,令和2年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,001,95,011,2,12,9,99,内廷費,(内廷費),324000,324000,0
皇室費,皇室費,002,95,011,2,12,9,06,宮廷費,諸謝金,31584,164970,-133386
皇室費,皇室費,002,95,011,2,95,9,07,宮廷費,報償費,303554,673238,-369684
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,庁費,2681472,4104493,-1423021
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,招宴費,133222,135596,-2374
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,各所修繕,1449082,1381442,67640
皇室費,皇室費,002,95,199,2,13,3,09,宮廷費,自動車重量税,1342,1502,-160
皇室費,皇室費,002,95,011,2,20,4,15,宮廷費,施設整備費,6335722,4640761,1694961
皇室費,皇室費,002,95,011,2,12,9,17,宮廷費,交際費,44088,47025,-2937
皇室費,皇室費,003,95,011,2,12,9,99,皇族費,(皇族費),269315,264232,5083
国会,衆議院,001,95,012,2,11,1,01,衆議院,議員歳費,10206691,10162983,43708
国会,衆議院,001,95,012,2,11,1,02,衆議院,職員基本給,8797336,8764338,32998
国会,衆議院,001,95,012,2,11,1,03,衆議院,職員諸手当,4541898,4479343,62555
国会,衆議院,001,95,012,2,11,1,04,衆議院,超過勤務手当,1479358,1475594,3764
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書手当,12360759,12251283,109476
国会,衆議院,001,95,012,2,11,1,05,衆議院,非常勤職員手当,249047,243034,6013
国会,衆議院,001,95,012,2,11,1,05,衆議院,休職者給与,29687,30367,-680
国会,衆議院,001,95,012,2,11,1,05,衆議院,短時間勤務職員給与,159366,159279,87
国会,衆議院,001,95,012,2,15,1,05,衆議院,公務災害補償費,19979,23076,-3097
国会,衆議院,001,95,012,2,11,1,05,衆議院,退職手当,1455755,1205749,250006
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書退職手当,315613,307005,8608
国会,衆議院,001,95,012,2,15,1,05,衆議院,弔慰金,41408,41408,0
国会,衆議院,001,95,089,2,11,1,05,衆議院,児童手当,72990,73900,-910
国会,衆議院,001,95,012,2,12,9,06,衆議院,諸謝金,6327,6318,9
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員旅費,316429,316023,406
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員文書通信交通滞在費,5580000,5580000,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議会雑費,29700,29700,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,職員旅費,147070,145210,1860
国会,衆議院,001,95,012,2,12,2,08,衆議院,赴任旅費,2573,2526,47
国会,衆議院,001,95,012,2,12,2,08,衆議院,委員等旅費,2517,0,2517
国会,衆議院,001,95,012,2,12,2,08,衆議院,証人等旅費,9494,11916,-2422
国会,衆議院,001,95,012,2,12,3,09,衆議院,庁費,1001790,993005,8785
国会,衆議院,001,95,012,2,12,3,09,衆議院,情報処理業務庁費,1910894,1826743,84151
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員会館管理等運営庁費,3618256,3467376,150880
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員特殊乗車券等購入費,911955,903663,8292
国会,衆議院,001,95,012,2,12,3,09,衆議院,国会活動啓発費,23026,22834,192
国会,衆議院,001,95,012,2,12,3,09,衆議院,議案類印刷費,562013,657203,-95190
国会,衆議院,001,95,012,2,12,3,09,衆議院,招へい外国人滞在費,73594,72925,669
国会,衆議院,001,95,012,2,12,3,09,衆議院,各所修繕,76401,77930,-1529
国会,衆議院,001,95,012,2,12,3,09,衆議院,国政調査活動費,358509,362273,-3764
国会,衆議院,001,95,012,2,12,3,09,衆議院,公共施設等維持管理運営費,3383935,3337436,46499
国会,衆議院,001,95,199,2,13,3,09,衆議院,自動車重量税,1699,1133,566
国会,衆議院,001,95,012,2,12,3,11,衆議院,立法事務費,3627000,3627000,0
国会,衆議院,001,95,012,2,11,5,16,衆議院,国家公務員共済組合負担金,2343384,2402803,-59419
国会,衆議院,001,95,012,2,11,5,16,衆議院,基礎年金等国家公務員共済組合負担金,562990,566811,-3821
国会,衆議院,001,95,012,2,11,5,16,衆議院,育児休業手当金国家公務員共済組合負担金,435,169,266
国会,衆議院,001,95,029,2,13,5,16,衆議院,国有資産所在市町村交付金,547789,601026,-53237
国会,衆議院,001,95,012,2,72,5,16,衆議院,列国議会同盟分担金,103191,114051,-10860
国会,衆議院,001,95,012,2,12,9,17,衆議院,交際費,59138,58601,537
国会,衆議院,001,95,012,2,95,9,18,衆議院,賠償償還及払戻金,2467,2467,0
国会,衆議院,002,95,012,1,20,2,08,衆議院施設費,施設施工旅費,694,705,-11
国会,衆議院,002,95,012,1,20,3,09,衆議院施設費,施設施工庁費,110447,27212,83235
国会,衆議院,002,95,012,1,20,4,15,衆議院施設費,施設整備費,976808,1025942,-49134
国会,衆議院,002,95,012,1,20,4,15,衆議院施設費,不動産購入費,585130,8108797,-7523667
国会,衆議院,009,95,012,2,95,9,99,衆議院予備経費,(国会予備経費),7000,7000,0
国会,参議院,011,95,012,2,11,1,01,参議院,議員歳費,5387061,5335640,51421
国会,参議院,011,95,012,2,11,1,02,参議院,職員基本給,6560077,6554603,5474
国会,参議院,011,95,012,2,11,1,03,参議院,職員諸手当,3420234,3399101,21133
国会,参議院,011,95,012,2,11,1,04,参議院,超過勤務手当,1121991,1125216,-3225
国会,参議院,011,95,012,2,11,1,05,参議院,議員秘書手当,6533928,6599964,-66036
国会,参議院,011,95,012,2,11,1,05,参議院,非常勤職員手当,177726,176342,1384
国会,参議院,011,95,012,2,11,1,05,参議院,休職者給与,36608,35596,1012
国会,参議院,011,95,012,2,11,1,05,参議院,短時間勤務職員給与,105903,83135,22768
国会,参議院,011,95,012,2,15,1,05,参議院,公務災害補償費,2848,2848,0
国会,参議院,011,95,012,2,11,1,05,参議院,退職手当,1049610,1409155,-359545
国会,参議院,011,95,012,2,11,1,05,参議院,議員秘書退職手当,188501,842578,-654077
国会,参議院,011,95,012,2,15,1,05,参議院,弔慰金,41408,41408,0
国会,参議院,011,95,089,2,11,1,05,参議院,児童手当,46880,47670,-790
国会,参議院,011,95,012,2,12,9,06,参議院,諸謝金,4517,4517,0
国会,参議院,011,95,012,2,12,2,08,参議院,議員旅費,162619,162293,326
国会,参議院,011,95,012,2,12,2,08,参議院,議員文書通信交通滞在費,2940000,2990000,-50000
国会,参議院,011,95,012,2,12,2,08,参議院,議会雑費,29700,29700,0
国会,参議院,011,95,012,2,12,2,08,参議院,職員旅費,87744,87595,149
国会,参議院,011,95,012,2,12,2,08,参議院,赴任旅費,2724,2699,25
国会,参議院,011,95,012,2,12,2,08,参議院,証人等旅費,10779,10680,99
国会,参議院,011,95,012,2,12,3,09,参議院,庁費,565441,579705,-14264
国会,参議院,011,95,012,2,12,3,09,参議院,情報処理業務庁費,1110007,1164630,-54623
国会,参議院,011,95,012,2,12,3,09,参議院,議員会館管理等運営庁費,2725181,2773722,-48541
国会,参議院,011,95,012,2,12,3,09,参議院,議員特殊乗車券等購入費,472860,459593,13267
国会,参議院,011,95,012,2,12,3,09,参議院,国会活動啓発費,18850,18714,136
国会,参議院,011,95,012,2,12,3,09,参議院,議案類印刷費,329497,416543,-87046
国会,参議院,011,95,012,2,12,3,09,参議院,招へい外国人滞在費,51812,51342,470
国会,参議院,011,95,012,2,12,3,09,参議院,各所修繕,62787,62216,571
国会,参議院,011,95,012,2,12,3,09,参議院,国政調査活動費,186140,184675,1465
国会,参議院,011,95,012,2,12,3,09,参議院,公共施設等維持管理運営費,1847890,1139764,708126
国会,参議院,011,95,199,2,13,3,09,参議院,自動車重量税,827,930,-103
国会,参議院,011,95,012,2,12,3,11,参議院,立法事務費,1911000,1903200,7800
国会,参議院,011,95,012,2,11,5,16,参議院,国家公務員共済組合負担金,1748683,1798018,-49335
国会,参議院,011,95,012,2,11,5,16,参議院,基礎年金等国家公務員共済組合負担金,421207,424622,-3415
国会,参議院,011,95,012,2,11,5,16,参議院,育児休業手当金国家公務員共済組合負担金,438,505,-67
国会,参議院,011,95,029,2,13,5,16,参議院,国有資産所在市町村交付金,361546,343145,18401
国会,参議院,011,95,012,2,12,9,17,参議院,交際費,31017,30735,282
国会,参議院,011,95,012,2,95,9,18,参議院,賠償償還及払戻金,2360,2360,0
国会,参議院,012,95,012,1,20,2,08,参議院施設費,施設施工旅費,875,891,-16
国会,参議院,012,95,012,1,20,3,09,参議院施設費,施設施工庁費,73493,64777,8716
国会,参議院,012,95,012,1,20,4,15,参議院施設費,施設整備費,1551263,4307765,-2756502
国会,参議院,012,95,012,1,20,4,15,参議院施設費,不動産購入費,0,4268437,-4268437
国会,参議院,019,95,012,2,95,9,99,参議院予備経費,(国会予備経費),5000,5000,0
国会,国立国会図書館,021,95,012,2,11,1,02,国立国会図書館,職員基本給,4681145,4667141,14004
国会,国立国会図書館,021,95,012,2,11,1,03,国立国会図書館,職員諸手当,2554047,2500241,53806
国会,国立国会図書館,021,95,012,2,11,1,04,国立国会図書館,超過勤務手当,480087,473969,6118
国会,国立国会図書館,021,95,012,2,11,1,05,国立国会図書館,非常勤職員手当,213760,212371,1389
国会,国立国会図書館,021,95,012,2,11,1,05,国立国会図書館,休職者給与,37126,34483,2643
国会,国立国会図書館,021,95,012,2,11,1,05,国立国会図書館,短時間勤務職員給与,58217,57444,773
国会,国立国会図書館,021,95,012,2,15,1,05,国立国会図書館,公務災害補償費,3227,2100,1127
国会,国立国会図書館,021,95,012,2,11,1,05,国立国会図書館,退職手当,656079,653858,2221
国会,国立国会図書館,021,95,089,2,11,1,05,国立国会図書館,児童手当,25550,25520,30
国会,国立国会図書館,021,95,012,2,12,9,06,国立国会図書館,諸謝金,22225,22225,0
国会,国立国会図書館,021,95,012,2,12,2,08,国立国会図書館,職員旅費,57483,57363,120
国会,国立国会図書館,021,95,012,2,12,2,08,国立国会図書館,赴任旅費,10200,10108,92
国会,国立国会図書館,021,95,012,2,12,2,08,国立国会図書館,委員等旅費,3253,3217,36
国会,国立国会図書館,021,95,012,2,12,2,08,国立国会図書館,外国人招へい旅費,4921,4921,0
国会,国立国会図書館,021,95,012,2,12,3,09,国立国会図書館,庁費,61162,60959,203
国会,国立国会図書館,021,95,012,2,12,3,09,国立国会図書館,国立国会図書館業務庁費,4667202,4330622,336580
国会,国立国会図書館,021,95,012,2,12,3,09,国立国会図書館,図書館資料購入費,775764,768792,6972
国会,国立国会図書館,021,95,012,2,12,3,09,国立国会図書館,立法資料購入費,63904,63330,574
国会,国立国会図書館,021,13,012,2,12,3,09,国立国会図書館,科学技術関係資料費,1145341,1135971,9370
国会,国立国会図書館,021,95,012,2,12,3,09,国立国会図書館,特殊文書関係資料整備費,68783,68158,625
