所管,組織,項コード,主要経費別分類コード,目的別分類コード,財政法公債金対象非対象別分類コード,経済性質別分類コード,使途別分類コード,目別分類コード,項名,目名,令和4年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,001,95,011,2,12,9,99,内廷費,(内廷費),324000,324000,0
皇室費,皇室費,002,95,011,2,12,9,06,宮廷費,諸謝金,28996,31376,-2380
皇室費,皇室費,002,95,011,2,95,9,07,宮廷費,報償費,298940,311476,-12536
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,庁費,2232331,2461893,-229562
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,情報処理業務庁費,39600,0,39600
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,各所修繕,1338723,1462993,-124270
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,招宴費,85765,88140,-2375
皇室費,皇室費,002,95,199,2,13,3,09,宮廷費,自動車重量税,1615,1400,215
皇室費,皇室費,002,95,011,2,20,4,15,宮廷費,施設整備費,2654716,7426797,-4772081
皇室費,皇室費,002,95,011,2,12,9,17,宮廷費,交際費,44088,44088,0
皇室費,皇室費,003,95,011,2,12,9,99,皇族費,(皇族費),260165,265503,-5338
国会,衆議院,001,95,012,2,11,1,01,衆議院,議員歳費,9521740,9291236,230504
国会,衆議院,001,95,012,2,11,1,02,衆議院,職員基本給,8782319,8733925,48394
国会,衆議院,001,95,012,2,11,1,03,衆議院,職員諸手当,4284730,4477576,-192846
国会,衆議院,001,95,012,2,11,1,04,衆議院,超過勤務手当,1347699,1480431,-132732
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書手当,12221297,12357174,-135877
国会,衆議院,001,95,012,2,11,1,05,衆議院,非常勤職員手当,247803,248736,-933
国会,衆議院,001,95,012,2,11,1,05,衆議院,休職者給与,32157,31370,787
国会,衆議院,001,95,012,2,11,1,05,衆議院,短時間勤務職員給与,150379,96494,53885
国会,衆議院,001,95,012,2,15,1,05,衆議院,公務災害補償費,12564,11082,1482
国会,衆議院,001,95,012,2,11,1,05,衆議院,退職手当,1783305,1653074,130231
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書退職手当,287901,1353725,-1065824
国会,衆議院,001,95,012,2,15,1,05,衆議院,弔慰金,41408,41408,0
国会,衆議院,001,95,089,2,11,1,05,衆議院,児童手当,71740,71440,300
国会,衆議院,001,95,012,2,12,9,06,衆議院,諸謝金,6327,6327,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員旅費,316429,316429,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員文書通信交通滞在費,5580000,5718000,-138000
国会,衆議院,001,95,012,2,12,2,08,衆議院,議会雑費,29700,29700,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,職員旅費,147070,147070,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,赴任旅費,2437,2437,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,委員等旅費,2517,2517,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,証人等旅費,9494,9494,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,庁費,1002290,1002290,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,情報処理業務庁費,2263295,2151755,111540
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員会館管理等運営庁費,3630774,3689817,-59043
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員特殊乗車券等購入費,911955,911955,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,国会活動啓発費,23026,23026,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,議案類印刷費,501160,558952,-57792
国会,衆議院,001,95,012,2,12,3,09,衆議院,招へい外国人滞在費,73594,73594,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,各所修繕,76640,76401,239
国会,衆議院,001,95,012,2,12,3,09,衆議院,国政調査活動費,359347,359347,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,公共施設等維持管理運営費,3385877,3372516,13361
国会,衆議院,001,95,199,2,13,3,09,衆議院,自動車重量税,1916,1086,830
国会,衆議院,001,95,012,2,12,3,11,衆議院,立法事務費,3627000,3627000,0
国会,衆議院,001,95,012,2,11,5,16,衆議院,国家公務員共済組合負担金,2223400,2243211,-19811
国会,衆議院,001,95,012,2,11,5,16,衆議院,基礎年金等国家公務員共済組合負担金,589050,575305,13745
国会,衆議院,001,95,012,2,11,5,16,衆議院,育児休業手当金国家公務員共済組合負担金,730,716,14
