主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,令和4年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
国会,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,1214305,1183741,30564
国会,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,703585,764801,-61216
国会,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,38417,40006,-1589
国会,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,410,425,-15
国会,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,125,100,25
国会,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,21910,21463,447
国会,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,7865,8734,-869
国会,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,2209,2189,20
国会,5,3,99,04,雑収入,諸収入,雑入,延滞金,2,1,1
国会,5,3,99,99,雑収入,諸収入,雑入,雑収,78764,228519,-149755
裁判所,4,2,03,36,政府資産整理収入,回収金等収入,貸付金等回収金収入,修習資金貸与金償還金,2229189,1857702,371487
裁判所,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,95010,97136,-2126
裁判所,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,168907,200969,-32062
裁判所,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,454812,480285,-25473
裁判所,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,3717,4320,-603
裁判所,5,2,09,01,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,49180,49100,80
裁判所,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1666993,1621615,45378
裁判所,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,80,127,-47
裁判所,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,319695,284960,34735
裁判所,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,64036,63924,112
裁判所,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,53886,52545,1341
裁判所,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,36179,41735,-5556
裁判所,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,17607,16570,1037
