主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,平成28年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
国会,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,992518,947316,45202
国会,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,574058,581018,-6960
国会,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,46283,40272,6011
国会,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,2272,2510,-238
国会,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,36,36,0
国会,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,183,215,-32
国会,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,14986,19476,-4490
国会,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,6259,5197,1062
国会,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,2646,2298,348
国会,5,3,99,04,雑収入,諸収入,雑入,延滞金,5,5,0
国会,5,3,99,99,雑収入,諸収入,雑入,雑収,1056,4781,-3725
裁判所,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,78177,76170,2007
裁判所,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,68651,68129,522
裁判所,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,643441,608279,35162
裁判所,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,5635,6570,-935
裁判所,5,2,09,01,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,52060,55600,-3540
裁判所,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,2198932,2065430,133502
裁判所,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,125,55,70
裁判所,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,92500,102649,-10149
裁判所,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,72742,71817,925
裁判所,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,57325,59145,-1820
裁判所,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,107029,102915,4114
裁判所,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,13233,12779,454
裁判所,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,634,755,-121
裁判所,5,3,99,04,雑収入,諸収入,雑入,延滞金,3871,3878,-7
裁判所,5,3,99,05,雑収入,諸収入,雑入,期満後収入,2675,3312,-637
裁判所,5,3,99,99,雑収入,諸収入,雑入,雑収,38200645,34813305,3387340
会計検査院,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,17,31,-14
会計検査院,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,32,34,-2
会計検査院,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,1148,1537,-389
会計検査院,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,22,50,-28
