所管,組織,項コード,主要経費別分類コード,目的別分類コード,財政法公債金対象非対象別分類コード,経済性質別分類コード,使途別分類コード,目別分類コード,項名,目名,平成28年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,001,95,011,2,12,9,99,内廷費,(内廷費),324000,324000,0
皇室費,皇室費,002,95,011,2,12,9,06,宮廷費,諸謝金,28739,28770,-31
皇室費,皇室費,002,95,011,2,95,9,07,宮廷費,報償費,231680,225623,6057
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,庁費,1792586,1792592,-6
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,招宴費,68645,69606,-961
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,各所修繕,1294663,1293936,727
皇室費,皇室費,002,95,199,2,13,3,09,宮廷費,自動車重量税,1338,1141,197
皇室費,皇室費,002,95,011,2,20,4,15,宮廷費,施設整備費,2069150,2092488,-23338
皇室費,皇室費,002,95,011,2,12,9,17,宮廷費,交際費,58783,58783,0
皇室費,皇室費,003,95,011,2,12,9,99,皇族費,(皇族費),229970,229970,0
国会,衆議院,001,95,012,2,11,1,01,衆議院,議員歳費,10210401,10157885,52516
国会,衆議院,001,95,012,2,11,1,02,衆議院,職員基本給,8584665,8519374,65291
国会,衆議院,001,95,012,2,11,1,03,衆議院,職員諸手当,4121167,4052515,68652
国会,衆議院,001,95,012,2,11,1,04,衆議院,超過勤務手当,1434386,1433765,621
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書手当,12205693,12133348,72345
国会,衆議院,001,95,012,2,11,1,05,衆議院,非常勤職員手当,212939,206797,6142
国会,衆議院,001,95,012,2,11,1,05,衆議院,休職者給与,36385,40685,-4300
国会,衆議院,001,95,012,2,11,1,05,衆議院,短時間勤務職員給与,113024,88857,24167
国会,衆議院,001,95,012,2,15,1,05,衆議院,公務災害補償費,24591,20319,4272
国会,衆議院,001,95,012,2,11,1,05,衆議院,退職手当,1522046,1960629,-438583
