所管,組織,項コード,主要経費別分類コード,目的別分類コード,財政法公債金対象非対象別分類コード,経済性質別分類コード,使途別分類コード,目別分類コード,項名,目名,平成31年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,001,95,011,2,12,9,99,内廷費,(内廷費),324000,324000,0
皇室費,皇室費,002,95,011,2,12,9,06,宮廷費,諸謝金,164970,38457,126513
皇室費,皇室費,002,95,011,2,95,9,07,宮廷費,報償費,673238,318877,354361
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,庁費,4104493,3938408,166085
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,招宴費,135596,68492,67104
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,各所修繕,1381442,1329719,51723
皇室費,皇室費,002,95,199,2,13,3,09,宮廷費,自動車重量税,1502,1448,54
皇室費,皇室費,002,95,011,2,20,4,15,宮廷費,施設整備費,4640761,3417261,1223500
皇室費,皇室費,002,95,011,2,12,9,17,宮廷費,交際費,47025,58783,-11758
皇室費,皇室費,003,95,011,2,12,9,99,皇族費,(皇族費),264232,364170,-99938
国会,衆議院,001,95,012,2,11,1,01,衆議院,議員歳費,10162983,10119274,43709
国会,衆議院,001,95,012,2,11,1,02,衆議院,職員基本給,8764338,8680085,84253
国会,衆議院,001,95,012,2,11,1,03,衆議院,職員諸手当,4479343,4354204,125139
国会,衆議院,001,95,012,2,11,1,04,衆議院,超過勤務手当,1475594,1454770,20824
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書手当,12251283,12076816,174467
国会,衆議院,001,95,012,2,11,1,05,衆議院,非常勤職員手当,243034,224328,18706
国会,衆議院,001,95,012,2,11,1,05,衆議院,休職者給与,30367,34463,-4096
国会,衆議院,001,95,012,2,11,1,05,衆議院,短時間勤務職員給与,159279,158534,745
国会,衆議院,001,95,012,2,15,1,05,衆議院,公務災害補償費,23076,23284,-208
国会,衆議院,001,95,012,2,11,1,05,衆議院,退職手当,1205749,1399778,-194029
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書退職手当,307005,251849,55156
国会,衆議院,001,95,012,2,15,1,05,衆議院,弔慰金,41408,41408,0
国会,衆議院,001,95,089,2,11,1,05,衆議院,児童手当,73900,70810,3090
国会,衆議院,001,95,012,2,12,9,06,衆議院,諸謝金,6318,6308,10
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員旅費,316023,315612,411
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員文書通信交通滞在費,5580000,5580000,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議会雑費,29700,29700,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,職員旅費,145210,144980,230
国会,衆議院,001,95,012,2,12,2,08,衆議院,赴任旅費,2526,2526,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,証人等旅費,11916,11821,95
国会,衆議院,001,95,012,2,12,3,09,衆議院,庁費,993005,982923,10082
国会,衆議院,001,95,012,2,12,3,09,衆議院,情報処理業務庁費,1826743,1827897,-1154
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員会館管理等運営庁費,3467376,3452645,14731
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員特殊乗車券等購入費,903663,873472,30191
国会,衆議院,001,95,012,2,12,3,09,衆議院,国会活動啓発費,22834,22606,228
国会,衆議院,001,95,012,2,12,3,09,衆議院,議案類印刷費,657203,695549,-38346
国会,衆議院,001,95,012,2,12,3,09,衆議院,招へい外国人滞在費,72925,72256,669
国会,衆議院,001,95,012,2,12,3,09,衆議院,各所修繕,77930,78117,-187
国会,衆議院,001,95,012,2,12,3,09,衆議院,国政調査活動費,362273,361034,1239
国会,衆議院,001,95,012,2,12,3,09,衆議院,公共施設等維持管理運営費,3337436,3494801,-157365
国会,衆議院,001,95,199,2,13,3,09,衆議院,自動車重量税,1133,1417,-284
国会,衆議院,001,95,012,2,12,3,11,衆議院,立法事務費,3627000,3627000,0
国会,衆議院,001,95,012,2,11,5,16,衆議院,国家公務員共済組合負担金,2402803,2399637,3166
国会,衆議院,001,95,012,2,11,5,16,衆議院,基礎年金等国家公務員共済組合負担金,566811,532198,34613
国会,衆議院,001,95,012,2,11,5,16,衆議院,育児休業手当金国家公務員共済組合負担金,169,928,-759
国会,衆議院,001,95,029,2,13,5,16,衆議院,国有資産所在市町村交付金,601026,572811,28215
国会,衆議院,001,95,012,2,72,5,16,衆議院,列国議会同盟分担金,114051,114063,-12
国会,衆議院,001,95,012,2,12,9,17,衆議院,交際費,58601,58063,538
国会,衆議院,001,95,012,2,95,9,18,衆議院,賠償償還及払戻金,2467,2467,0
国会,衆議院,002,95,012,1,20,2,08,衆議院施設費,施設施工旅費,705,696,9
国会,衆議院,002,95,012,1,20,3,09,衆議院施設費,施設施工庁費,27212,23963,3249
国会,衆議院,002,95,012,1,20,4,15,衆議院施設費,施設整備費,1025942,1071154,-45212
国会,衆議院,002,95,012,1,20,4,15,衆議院施設費,不動産購入費,8108797,8098131,10666
国会,衆議院,009,95,012,2,95,9,99,衆議院予備経費,(国会予備経費),7000,7000,0
国会,参議院,011,95,012,2,11,1,01,参議院,議員歳費,5335640,5275762,59878
国会,参議院,011,95,012,2,11,1,02,参議院,職員基本給,6554603,6526059,28544
国会,参議院,011,95,012,2,11,1,03,参議院,職員諸手当,3399101,3360019,39082
国会,参議院,011,95,012,2,11,1,04,参議院,超過勤務手当,1125216,1115335,9881
国会,参議院,011,95,012,2,11,1,05,参議院,議員秘書手当,6599964,6393497,206467
国会,参議院,011,95,012,2,11,1,05,参議院,非常勤職員手当,176342,154364,21978
国会,参議院,011,95,012,2,11,1,05,参議院,休職者給与,35596,32783,2813
国会,参議院,011,95,012,2,11,1,05,参議院,短時間勤務職員給与,83135,82772,363
国会,参議院,011,95,012,2,15,1,05,参議院,公務災害補償費,2848,2848,0
国会,参議院,011,95,012,2,11,1,05,参議院,退職手当,1409155,1507471,-98316
国会,参議院,011,95,012,2,11,1,05,参議院,議員秘書退職手当,842578,172911,669667
国会,参議院,011,95,012,2,15,1,05,参議院,弔慰金,41408,41408,0
国会,参議院,011,95,089,2,11,1,05,参議院,児童手当,47670,48480,-810
国会,参議院,011,95,012,2,12,9,06,参議院,諸謝金,4517,5512,-995
国会,参議院,011,95,012,2,12,2,08,参議院,議員旅費,162293,161965,328
国会,参議院,011,95,012,2,12,2,08,参議院,議員文書通信交通滞在費,2990000,2904000,86000
国会,参議院,011,95,012,2,12,2,08,参議院,議会雑費,29700,29700,0
国会,参議院,011,95,012,2,12,2,08,参議院,職員旅費,87595,87445,150
国会,参議院,011,95,012,2,12,2,08,参議院,赴任旅費,2699,2674,25
国会,参議院,011,95,012,2,12,2,08,参議院,証人等旅費,10680,10584,96
国会,参議院,011,95,012,2,12,3,09,参議院,庁費,579705,614288,-34583
国会,参議院,011,95,012,2,12,3,09,参議院,情報処理業務庁費,1164630,993484,171146
国会,参議院,011,95,012,2,12,3,09,参議院,議員会館管理等運営庁費,2773722,2566963,206759
国会,参議院,011,95,012,2,12,3,09,参議院,議員特殊乗車券等購入費,459593,448898,10695
国会,参議院,011,95,012,2,12,3,09,参議院,国会活動啓発費,18714,21293,-2579
国会,参議院,011,95,012,2,12,3,09,参議院,議案類印刷費,416543,440493,-23950
国会,参議院,011,95,012,2,12,3,09,参議院,招へい外国人滞在費,51342,50870,472
国会,参議院,011,95,012,2,12,3,09,参議院,各所修繕,62216,61645,571
国会,参議院,011,95,012,2,12,3,09,参議院,国政調査活動費,184675,222983,-38308
国会,参議院,011,95,012,2,12,3,09,参議院,公共施設等維持管理運営費,1139764,1222593,-82829
国会,参議院,011,95,199,2,13,3,09,参議院,自動車重量税,930,1007,-77
国会,参議院,011,95,012,2,12,3,11,参議院,立法事務費,1903200,1887600,15600
国会,参議院,011,95,012,2,11,5,16,参議院,国家公務員共済組合負担金,1798018,1796196,1822
国会,参議院,011,95,012,2,11,5,16,参議院,基礎年金等国家公務員共済組合負担金,424622,402235,22387
国会,参議院,011,95,012,2,11,5,16,参議院,育児休業手当金国家公務員共済組合負担金,505,272,233
国会,参議院,011,95,029,2,13,5,16,参議院,国有資産所在市町村交付金,343145,321981,21164
国会,参議院,011,95,012,2,12,9,17,参議院,交際費,30735,30453,282
国会,参議院,011,95,012,2,95,9,18,参議院,賠償償還及払戻金,2360,2360,0
国会,参議院,012,95,012,1,20,2,08,参議院施設費,施設施工旅費,891,875,16
国会,参議院,012,95,012,1,20,3,09,参議院施設費,施設施工庁費,64777,44650,20127
国会,参議院,012,95,012,1,20,4,15,参議院施設費,施設整備費,4307765,2562811,1744954
国会,参議院,012,95,012,1,20,4,15,参議院施設費,不動産購入費,4268437,4268437,0
国会,参議院,019,95,012,2,95,9,99,参議院予備経費,(国会予備経費),5000,5000,0
国会,国立国会図書館,021,95,012,2,11,1,02,国立国会図書館,職員基本給,4667141,4597606,69535
国会,国立国会図書館,021,95,012,2,11,1,03,国立国会図書館,職員諸手当,2500241,2444665,55576
国会,国立国会図書館,021,95,012,2,11,1,04,国立国会図書館,超過勤務手当,473969,466409,7560
国会,国立国会図書館,021,95,012,2,11,1,05,国立国会図書館,非常勤職員手当,212371,195686,16685
国会,国立国会図書館,021,95,012,2,11,1,05,国立国会図書館,休職者給与,34483,33079,1404
国会,国立国会図書館,021,95,012,2,11,1,05,国立国会図書館,短時間勤務職員給与,57444,57563,-119
国会,国立国会図書館,021,95,012,2,15,1,05,国立国会図書館,公務災害補償費,2100,2340,-240
国会,国立国会図書館,021,95,012,2,11,1,05,国立国会図書館,退職手当,653858,468875,184983
国会,国立国会図書館,021,95,089,2,11,1,05,国立国会図書館,児童手当,25520,26215,-695
国会,国立国会図書館,021,95,012,2,12,9,06,国立国会図書館,諸謝金,22225,23733,-1508
国会,国立国会図書館,021,95,012,2,12,2,08,国立国会図書館,職員旅費,57363,57916,-553
国会,国立国会図書館,021,95,012,2,12,2,08,国立国会図書館,赴任旅費,10108,10015,93
国会,国立国会図書館,021,95,012,2,12,2,08,国立国会図書館,委員等旅費,3217,3424,-207
国会,国立国会図書館,021,95,012,2,12,2,08,国立国会図書館,外国人招へい旅費,4921,5238,-317
国会,国立国会図書館,021,95,012,2,12,3,09,国立国会図書館,庁費,60959,55608,5351
