主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,平成31年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
国会,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,1157829,1092867,64962
国会,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,726831,649994,76837
国会,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,43894,46703,-2809
国会,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,1177,1275,-98
国会,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,14,58,-44
国会,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,19212,15721,3491
国会,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,6944,6327,617
国会,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,1702,1798,-96
国会,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,1,0
国会,5,3,99,99,雑収入,諸収入,雑入,雑収,1520,985,535
裁判所,4,2,03,36,政府資産整理収入,回収金等収入,貸付金等回収金収入,修習資金貸与金償還金,1039134,524591,514543
裁判所,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,87888,85512,2376
裁判所,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,162305,150487,11818
裁判所,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,535551,630302,-94751
裁判所,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,4473,4222,251
裁判所,5,2,09,01,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,49140,48680,460
裁判所,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1528761,1804377,-275616
裁判所,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,123,90,33
裁判所,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,144969,107636,37333
裁判所,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,61457,75443,-13986
裁判所,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,55197,55741,-544
裁判所,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,47845,70876,-23031
裁判所,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,9742,9082,660
裁判所,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,26,26,0
裁判所,5,3,99,04,雑収入,諸収入,雑入,延滞金,4015,3837,178
裁判所,5,3,99,05,雑収入,諸収入,雑入,期満後収入,2450,4121,-1671
裁判所,5,3,99,99,雑収入,諸収入,雑入,雑収,46230982,43155290,3075692
会計検査院,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,17,17,0
会計検査院,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,13,13,0
会計検査院,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,1195,1024,171
会計検査院,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,53,103,-50
会計検査院,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,970,1851,-881
会計検査院,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,2348,1727,621
会計検査院,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,831,893,-62
会計検査院,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,1,0
会計検査院,5,3,99,99,雑収入,諸収入,雑入,雑収,579,584,-5
内閣,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,24955,23120,1835
内閣,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,1262,1399,-137
内閣,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,3693,4412,-719
内閣,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,915,842,73
内閣,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,188,230,-42
内閣,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,1022002,1272078,-250076
内閣,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,720,1796,-1076
内閣,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,1534,1497,37
内閣,5,3,99,04,雑収入,諸収入,雑入,延滞金,313,313,0
内閣府,3,2,01,01,官業益金及官業収入,官業収入,病院収入,宮内庁病院収入,31244,35528,-4284
内閣府,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,392116,2342377,-1950261
内閣府,4,1,01,50,政府資産整理収入,国有財産処分収入,国有財産売払収入,航空機売払代,107800,0,107800
内閣府,4,1,01,03,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,0,266208,-266208
内閣府,4,1,01,05,政府資産整理収入,国有財産処分収入,国有財産売払収入,船舶売払代,0,7474,-7474
内閣府,4,2,03,13,政府資産整理収入,回収金等収入,貸付金等回収金収入,災害援護資金貸付金償還金,2186241,1004283,1181958
