所管,組織,項コード,主要経費別分類コード,目的別分類コード,財政法公債金対象非対象別分類コード,経済性質別分類コード,使途別分類コード,目別分類コード,項名,目名,平成30年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,001,95,011,2,12,9,99,内廷費,(内廷費),324000,324000,0
皇室費,皇室費,002,95,011,2,12,9,06,宮廷費,諸謝金,38457,25756,12701
皇室費,皇室費,002,95,011,2,95,9,07,宮廷費,報償費,318877,238514,80363
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,庁費,3938408,1876494,2061914
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,招宴費,68492,66845,1647
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,各所修繕,1329719,1342653,-12934
皇室費,皇室費,002,95,199,2,13,3,09,宮廷費,自動車重量税,1448,1122,326
皇室費,皇室費,002,95,011,2,20,4,15,宮廷費,施設整備費,3417261,2068750,1348511
皇室費,皇室費,002,95,011,2,12,9,17,宮廷費,交際費,58783,58783,0
皇室費,皇室費,003,95,011,2,12,9,99,皇族費,(皇族費),364170,214720,149450
国会,衆議院,001,95,012,2,11,1,01,衆議院,議員歳費,10119274,10291825,-172551
国会,衆議院,001,95,012,2,11,1,02,衆議院,職員基本給,8680085,8554597,125488
国会,衆議院,001,95,012,2,11,1,03,衆議院,職員諸手当,4354204,4221744,132460
国会,衆議院,001,95,012,2,11,1,04,衆議院,超過勤務手当,1454770,1445046,9724
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書手当,12076816,12366032,-289216
国会,衆議院,001,95,012,2,11,1,05,衆議院,非常勤職員手当,224328,215396,8932
国会,衆議院,001,95,012,2,11,1,05,衆議院,休職者給与,34463,34466,-3
国会,衆議院,001,95,012,2,11,1,05,衆議院,短時間勤務職員給与,158534,137049,21485
国会,衆議院,001,95,012,2,15,1,05,衆議院,公務災害補償費,23284,24206,-922
国会,衆議院,001,95,012,2,11,1,05,衆議院,退職手当,1399778,1332418,67360
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書退職手当,251849,301063,-49214
国会,衆議院,001,95,012,2,15,1,05,衆議院,弔慰金,41408,41408,0
国会,衆議院,001,95,089,2,11,1,05,衆議院,児童手当,70810,71620,-810
国会,衆議院,001,95,012,2,12,9,06,衆議院,諸謝金,6308,6308,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員旅費,315612,315612,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員文書通信交通滞在費,5580000,5700000,-120000
国会,衆議院,001,95,012,2,12,2,08,衆議院,議会雑費,29700,29700,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,職員旅費,144980,144980,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,赴任旅費,2526,2526,0
国会,衆議院,001,95,012,2,12,2,08,衆議院,証人等旅費,11821,11821,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,庁費,982923,982923,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,情報処理業務庁費,1827897,1775252,52645
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員会館管理等運営庁費,3452645,3447036,5609
国会,衆議院,001,95,012,2,12,3,09,衆議院,議員特殊乗車券等購入費,873472,873472,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,国会活動啓発費,22606,22606,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,議案類印刷費,695549,701596,-6047
国会,衆議院,001,95,012,2,12,3,09,衆議院,招へい外国人滞在費,72256,72256,0
国会,衆議院,001,95,012,2,12,3,09,衆議院,各所修繕,78117,76746,1371
国会,衆議院,001,95,012,2,12,3,09,衆議院,国政調査活動費,361034,383907,-22873
国会,衆議院,001,95,012,2,12,3,09,衆議院,公共施設等維持管理運営費,3494801,3689774,-194973
国会,衆議院,001,95,199,2,13,3,09,衆議院,自動車重量税,1417,1413,4
国会,衆議院,001,95,012,2,12,3,11,衆議院,立法事務費,3627000,3705000,-78000
国会,衆議院,001,95,012,2,11,5,16,衆議院,国家公務員共済組合負担金,2399637,2370474,29163
国会,衆議院,001,95,012,2,11,5,16,衆議院,基礎年金等国家公務員共済組合負担金,532198,525543,6655
国会,衆議院,001,95,012,2,11,5,16,衆議院,育児休業手当金国家公務員共済組合負担金,928,631,297
国会,衆議院,001,95,029,2,13,5,16,衆議院,国有資産所在市町村交付金,572811,549528,23283
国会,衆議院,001,95,012,2,72,5,16,衆議院,列国議会同盟分担金,114063,110746,3317
国会,衆議院,001,95,012,2,12,9,17,衆議院,交際費,58063,58063,0
国会,衆議院,001,95,012,2,95,9,18,衆議院,賠償償還及払戻金,2467,2467,0
