主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,平成30年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
国会,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,1092867,1046455,46412
国会,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,649994,644715,5279
国会,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,46703,42795,3908
国会,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,1275,1719,-444
国会,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,0,36,-36
国会,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,58,174,-116
国会,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,15721,15447,274
国会,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,6327,7055,-728
国会,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,1798,2412,-614
国会,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,1,0
国会,5,3,99,99,雑収入,諸収入,雑入,雑収,985,992,-7
裁判所,4,2,03,36,政府資産整理収入,回収金等収入,貸付金等回収金収入,修習資金貸与金償還金,524591,0,524591
裁判所,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,85512,82425,3087
裁判所,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,150487,123149,27338
裁判所,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,630302,603896,26406
裁判所,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,4222,5208,-986
裁判所,5,2,09,01,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,48680,50860,-2180
裁判所,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1804377,2058640,-254263
裁判所,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,90,159,-69
裁判所,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,107636,102336,5300
裁判所,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,75443,78783,-3340
裁判所,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,55741,54748,993
裁判所,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,70876,99053,-28177
裁判所,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,9082,11428,-2346
裁判所,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,26,571,-545
裁判所,5,3,99,04,雑収入,諸収入,雑入,延滞金,3837,3548,289
裁判所,5,3,99,05,雑収入,諸収入,雑入,期満後収入,4121,2344,1777
裁判所,5,3,99,99,雑収入,諸収入,雑入,雑収,43155290,39717804,3437486
会計検査院,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,17,17,0
会計検査院,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,13,13,0
会計検査院,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,1024,1233,-209
会計検査院,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,0,22,-22
会計検査院,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,103,97,6
会計検査院,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,1851,2032,-181
会計検査院,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,1727,1174,553
会計検査院,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,893,1071,-178
会計検査院,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,1,0
会計検査院,5,3,99,99,雑収入,諸収入,雑入,雑収,584,542,42
内閣,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,23120,21567,1553
内閣,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,1399,1353,46
内閣,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,4412,4761,-349
