主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,令和5年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
総務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,21321685,12086844,9234841
総務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,25162,32457,-7295
総務省,5,3,15,01,雑収入,諸収入,電波利用料収入,電波利用料収入,74995721,74995721,0
総務省,5,3,33,01,雑収入,諸収入,特定基地局開設料収入,特定基地局開設料収入,12700000,9100000,3600000
総務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,11683,6958,4725
総務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,1349,1380,-31
総務省,5,3,99,99,雑収入,諸収入,雑入,雑収,640806,1489386,-848580
法務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,238746,231808,6938
法務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,344189,305107,39082
法務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,216369,222669,-6300
法務省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,519,1032,-513
法務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,52950245,47096277,5853968
法務省,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,1799760,1789101,10659
法務省,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,947846,652347,295499
法務省,5,3,08,01,雑収入,諸収入,懲罰及没収金,罰金及科料,31896518,34508136,-2611618
法務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,423727,451197,-27470
法務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,679289,507800,171489
法務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,411666,172318,239348
法務省,5,3,10,01,雑収入,諸収入,矯正官署作業収入,刑務所作業収入,2234716,2817464,-582748
法務省,5,3,10,02,雑収入,諸収入,矯正官署作業収入,少年院職業指導収入,4090,3782,308
法務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,97546,57658,39888
法務省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,13855,4855,9000
法務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,7573,2366,5207
法務省,5,3,99,05,雑収入,諸収入,雑入,期満後収入,142395,95855,46540
法務省,5,3,99,12,雑収入,諸収入,雑入,相続土地国庫帰属負担金,110332,0,110332
法務省,5,3,99,99,雑収入,諸収入,雑入,雑収,184262,257408,-73146
法務省,5,2,03,01,雑収入,納付金,雑納付金,日本司法支援センター納付金,0,3605177,-3605177
外務省,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,66140,66140,0
外務省,4,1,01,03,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,34937,34937,0
外務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,10092,9613,479
外務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,50811,46345,4466
外務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,472809,445038,27771
外務省,5,1,04,01,雑収入,国有財産利用収入,利子収入,預託金利子収入,14187,18150,-3963
外務省,5,2,03,73,雑収入,納付金,雑納付金,独立行政法人国際交流基金納付金,14144,1741026,-1726882
外務省,5,2,03,37,雑収入,納付金,雑納付金,独立行政法人国際協力機構納付金,0,19093375,-19093375
外務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,11147074,17233973,-6086899
外務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,3838,2711,1127
