主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,令和5年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
農林水産省,5,3,03,24,雑収入,諸収入,特別会計受入金,食料安定供給特別会計受入金,3407664,3377571,30093
農林水産省,5,3,28,01,雑収入,諸収入,東日本大震災復興食料安定供給特別会計受入金,食料安定供給特別会計受入金,1005,30,975
農林水産省,5,3,04,03,雑収入,諸収入,公共事業費負担金,海岸整備事業費負担金,786119,1004194,-218075
農林水産省,5,3,04,04,雑収入,諸収入,公共事業費負担金,治山事業費負担金,3265034,4277276,-1012242
農林水産省,5,3,04,01,雑収入,諸収入,公共事業費負担金,土地改良事業費負担金,27772136,40428542,-12656406
農林水産省,5,3,04,13,雑収入,諸収入,公共事業費負担金,地すべり対策事業費負担金,209424,119503,89921
農林水産省,5,3,04,05,雑収入,諸収入,公共事業費負担金,特定漁港漁場整備事業費負担金,4025341,5230938,-1205597
農林水産省,5,3,04,06,雑収入,諸収入,公共事業費負担金,農業用施設災害復旧事業費負担金,46440,146306,-99866
農林水産省,5,3,04,14,雑収入,諸収入,公共事業費負担金,直轄地すべり防止施設災害復旧費負担金,4256,4256,0
農林水産省,5,3,04,10,雑収入,諸収入,公共事業費負担金,治山災害復旧事業費負担金,33500,54396,-20896
