主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,平成26年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
国会,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,957940,1008610,-50670
国会,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,478167,502317,-24150
国会,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,41168,35716,5452
国会,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,2725,2848,-123
国会,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,36,36,0
国会,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,902,1465,-563
国会,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,18455,15057,3398
国会,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,3225,6217,-2992
国会,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,1958,1946,12
国会,5,3,99,04,雑収入,諸収入,雑入,延滞金,5,0,5
国会,5,3,99,99,雑収入,諸収入,雑入,雑収,5978,7078,-1100
裁判所,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,76497,75861,636
裁判所,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,69981,72285,-2304
裁判所,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,702225,696202,6023
裁判所,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,6417,6759,-342
裁判所,5,2,09,01,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,58250,59650,-1400
裁判所,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1942315,1881333,60982
裁判所,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,118233,154767,-36534
裁判所,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,0,6,-6
裁判所,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,71142,58452,12690
裁判所,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,56302,54562,1740
裁判所,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,107225,99254,7971
裁判所,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,11866,10997,869
裁判所,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,236,166,70
裁判所,5,3,99,04,雑収入,諸収入,雑入,延滞金,3771,2996,775
裁判所,5,3,99,05,雑収入,諸収入,雑入,期満後収入,3268,4911,-1643
裁判所,5,3,99,99,雑収入,諸収入,雑入,雑収,32311839,25846802,6465037
会計検査院,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,59,59,0
会計検査院,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,35,38,-3
会計検査院,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,15948,18432,-2484
会計検査院,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,50,44,6
会計検査院,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,342,311,31
会計検査院,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,1769,1237,532
会計検査院,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,169,115,54
会計検査院,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,930,854,76
会計検査院,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,1,10,-9
会計検査院,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,1,0
会計検査院,5,3,99,99,雑収入,諸収入,雑入,雑収,504,681,-177
