所管,組織,項コード,主要経費別分類コード,目的別分類コード,財政法公債金対象非対象別分類コード,経済性質別分類コード,使途別分類コード,目別分類コード,項名,目名,平成26年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,001,95,011,2,12,9,99,内廷費,(内廷費),324000,324000,0
皇室費,皇室費,002,95,011,2,12,9,06,宮廷費,諸謝金,28781,29109,-328
皇室費,皇室費,002,95,011,2,95,9,07,宮廷費,報償費,231737,215948,15789
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,庁費,1792712,1748241,44471
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,招宴費,69926,59948,9978
皇室費,皇室費,002,95,011,2,12,3,09,宮廷費,各所修繕,1204796,1373254,-168458
皇室費,皇室費,002,95,199,2,13,3,09,宮廷費,自動車重量税,1347,1137,210
皇室費,皇室費,002,95,011,2,20,4,15,宮廷費,施設整備費,2174955,2008054,166901
皇室費,皇室費,002,95,011,2,12,9,17,宮廷費,交際費,58783,57150,1633
皇室費,皇室費,003,95,011,2,12,9,99,皇族費,(皇族費),262809,260775,2034
国会,衆議院,001,95,012,2,11,1,01,衆議院,議員歳費,10049111,8824614,1224497
国会,衆議院,001,95,012,2,11,1,02,衆議院,職員基本給,8509431,7730586,778845
国会,衆議院,001,95,012,2,11,1,03,衆議院,職員諸手当,3904078,3556042,348036
国会,衆議院,001,95,012,2,11,1,04,衆議院,超過勤務手当,1418466,1308403,110063
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書手当,11981596,12101525,-119929
国会,衆議院,001,95,012,2,11,1,05,衆議院,非常勤職員手当,205560,173622,31938
国会,衆議院,001,95,012,2,11,1,05,衆議院,休職者給与,40726,38410,2316
国会,衆議院,001,95,012,2,11,1,05,衆議院,短時間勤務職員給与,81300,61535,19765
国会,衆議院,001,95,012,2,15,1,05,衆議院,公務災害補償費,15578,17561,-1983
国会,衆議院,001,95,012,2,11,1,05,衆議院,退職手当,1907054,2038556,-131502
国会,衆議院,001,95,012,2,11,1,05,衆議院,議員秘書退職手当,404121,448341,-44220
国会,衆議院,001,95,012,2,15,1,05,衆議院,弔慰金,41408,41408,0
国会,衆議院,001,95,089,2,11,1,05,衆議院,子どものための金銭の給付,83650,84495,-845
国会,衆議院,001,95,012,2,12,9,06,衆議院,諸謝金,7691,7947,-256
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員旅費,278084,276854,1230
国会,衆議院,001,95,012,2,12,2,08,衆議院,議員文書通信交通滞在費,5760000,5760000,0
